N,label,mean,median,p90,p95,p99,max,mean_fraction,p99_fraction
1000,Adaptive,171.56,170.0,252.0,280.04999999999995,321.02,407,0.17156,0.32101999999999997
1000,Fixed λ=0.95,498.285,510.5,708.1,760.05,839.04,910,0.498285,0.8390399999999999
1000,No forgetting,682.277,704.0,862.1,898.0,952.01,976,0.682277,0.9520099999999999
3000,Adaptive,194.954,190.0,294.1,317.0999999999999,373.01,440,0.06498466666666666,0.12433666666666666
3000,Fixed λ=0.95,681.284,665.5,1075.1,1200.1499999999999,1511.06,1764,0.22709466666666667,0.5036866666666667
3000,No forgetting,1091.687,1092.0,1639.2,1776.05,2039.3799999999997,2421,0.3638956666666667,0.6797933333333331
10000,Adaptive,200.256,199.0,303.1,330.04999999999995,396.0,420,0.0200256,0.0396
10000,Fixed λ=0.95,771.507,756.5,1207.0,1379.05,1618.04,2163,0.0771507,0.161804
10000,No forgetting,1301.562,1281.5,2028.7000000000003,2220.3999999999996,2662.2,3346,0.1301562,0.26621999999999996
30000,Adaptive,198.413,197.5,303.0,333.0,405.03,505,0.006613766666666666,0.013500999999999999
30000,Fixed λ=0.95,761.599,730.5,1240.1,1371.1499999999999,1668.1699999999998,1956,0.025386633333333332,0.05560566666666666
30000,No forgetting,1377.269,1346.0,2159.3,2444.5499999999993,2977.2,3456,0.04590896666666666,0.09924
100000,Adaptive,204.91,204.0,315.0,341.0,393.0,432,0.0020491000000000003,0.00393
100000,Fixed λ=0.95,794.66,772.0,1258.3000000000002,1415.4499999999996,1754.2299999999998,2099,0.0079466,0.017542299999999997
100000,No forgetting,1379.868,1349.5,2184.4,2357.0,2988.0699999999997,3483,0.013798679999999999,0.0298807
