N,events,mean_samples_per_edge,median,p05,p95,fraction_edges_ge_50,fraction_edges_ge_200,fraction_edges_ge_500,fraction_edges_ge_1000
1000,10000,40.0,40.0,30.0,50.0,0.073,0.0,0.0,0.0
1000,30000,120.0,120.0,102.0,138.04999999999995,1.0,0.0,0.0,0.0
1000,100000,400.0,400.0,366.0,434.0,1.0,1.0,0.0,0.0
1000,300000,1200.0,1200.0,1143.95,1258.0,1.0,1.0,1.0,1.0
1000,1000000,4000.0,3998.0,3902.9,4103.0,1.0,1.0,1.0,1.0
1000,3000000,12000.0,11999.0,11823.9,12177.15,1.0,1.0,1.0,1.0
1000,10000000,40000.0,40002.0,39667.85,40334.0,1.0,1.0,1.0,1.0
1000,30000000,120000.0,120006.0,119420.9,120558.2,1.0,1.0,1.0,1.0
10000,10000,4.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0
10000,30000,12.0,12.0,7.0,18.0,0.0,0.0,0.0,0.0
10000,100000,40.0,40.0,30.0,51.0,0.0743,0.0,0.0,0.0
10000,300000,120.0,120.0,102.0,138.0,1.0,0.0,0.0,0.0
10000,1000000,400.0,400.0,367.0,434.0,1.0,1.0,0.0,0.0
10000,3000000,1200.0,1200.0,1143.0,1258.0,1.0,1.0,1.0,1.0
10000,10000000,4000.0,4000.0,3897.0,4105.0,1.0,1.0,1.0,1.0
10000,30000000,12000.0,12001.0,11820.0,12181.0,1.0,1.0,1.0,1.0
100000,10000,0.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0
100000,30000,1.2,1.0,0.0,3.0,0.0,0.0,0.0,0.0
100000,100000,4.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0
100000,300000,12.0,12.0,7.0,18.0,0.0,0.0,0.0,0.0
100000,1000000,40.0,40.0,30.0,51.0,0.06872,0.0,0.0,0.0
100000,3000000,120.0,120.0,102.0,138.0,1.0,0.0,0.0,0.0
100000,10000000,400.0,400.0,367.0,433.0,1.0,1.0,0.0,0.0
100000,30000000,1200.0,1200.0,1143.0,1257.0,1.0,1.0,1.0,1.0
