N,w,concurrent_events,label,union_bound
1000.0,36,2,baseline local write set (w=36),1.0
1080.4718223181285,36,2,baseline local write set (w=36),1.0
1167.4193588234587,36,2,baseline local write set (w=36),1.0
1261.3637220374437,36,2,baseline local write set (w=36),1.0
1362.867959355774,36,2,baseline local write set (w=36),0.950935848996419
1472.5404276241222,36,2,baseline local write set (w=36),0.8801116598822606
1591.0384392721533,36,2,baseline local write set (w=36),0.8145623436935167
1719.0722018585745,36,2,baseline local write set (w=36),0.7538950362869168
1857.4090746385718,36,2,baseline local write set (w=36),0.6977461334155401
2006.8781676649664,36,2,baseline local write set (w=36),0.6457791114982908
2168.375310987435,36,2,baseline local write set (w=36),0.59768251069499
2342.8684237322327,36,2,baseline local write set (w=36),0.5531680681988312
2531.403315241567,36,2,baseline local write set (w=36),0.5119689905582372
2735.1099530412107,36,2,baseline local write set (w=36),0.4738383546734411
2955.2092352028876,36,2,baseline local write set (w=36),0.4385476278842991
3193.020307691027,36,2,baseline local write set (w=36),0.4058852982796023
3449.9684705497157,36,2,baseline local write set (w=36),0.3756556070187784
3727.593720314938,36,2,baseline local write set (w=36),0.3476773750682527
4027.5599798502976,36,2,baseline local write set (w=36),0.3217829173206184
4351.665070924416,36,2,baseline local write set (w=36),0.2978170375884864
4701.851489299852,36,2,baseline local write set (w=36),0.27563609844958886
5080.218046913023,36,2,baseline local write set (w=36),0.25510716036834485
5489.032450921557,36,2,baseline local write set (w=36),0.23610718493427996
5930.744895010558,36,2,baseline local write set (w=36),0.21852229744197973
6408.002744415996,36,2,baseline local write set (w=36),0.2022471043929169
6923.6664026787275,36,2,baseline local write set (w=36),0.18718406182865555
7480.826455225086,36,2,baseline local write set (w=36),0.17324289070959414
8082.822192522714,36,2,baseline local write set (w=36),0.16034003583536802
8733.261623828437,36,2,baseline local write set (w=36),0.14839816506400125
9436.04310147889,36,2,baseline local write set (w=36),0.1373457058284188
10195.378685327301,36,2,baseline local write set (w=36),0.12711641617247046
11015.819387358995,36,2,baseline local write set (w=36),0.11764898773551075
11902.282447787144,36,2,baseline local write set (w=36),0.1088866783060547
12860.08080610565,36,2,baseline local write set (w=36),0.10077697174225306
13894.95494373136,36,2,baseline local write set (w=36),0.09327126322094942
15013.107289081743,36,2,baseline local write set (w=36),0.08632456792888664
16221.239391291729,36,2,baseline local write set (w=36),0.0798952514501296
17526.592085367585,36,2,baseline local write set (w=36),0.07394478023380202
18936.988889503602,36,2,baseline local write set (w=36),0.06843749064659098
20460.88289466011,36,2,baseline local write set (w=36),0.06334037522585258
22107.407427431233,36,2,baseline local write set (w=36),0.05862288485224649
23886.430789846003,36,2,baseline local write set (w=36),0.05425674565623772
25808.615404180768,36,2,baseline local write set (w=36),0.05021578956111142
27885.481717262915,36,2,baseline local write set (w=36),0.0464757974468733
30129.47724726992,36,2,baseline local write set (w=36),0.04301435399505422
32554.05118685032,36,2,baseline local write set (w=36),0.039810713344442306
35173.7350096938,36,2,baseline local write set (w=36),0.03684567475256254
38004.22956365882,36,2,baseline local write set (w=36),0.03410146751769144
41062.49917244294,36,2,baseline local write set (w=36),0.031561644471697084
44366.87330978607,36,2,baseline local write set (w=36),0.029210983405362923
47937.15645558219,36,2,baseline local write set (w=36),0.027035395835396558
51794.74679231213,36,2,baseline local write set (w=36),0.025021842566326915
55962.76445319552,36,2,baseline local write set (w=36),0.023158255541216338
60466.19009070435,36,2,baseline local write set (w=36),0.021433465512807923
65332.014595937704,36,2,baseline local write set (w=36),0.019837135101610417
70589.40086618738,36,2,baseline local write set (w=36),0.01835969683971053
76269.85859023451,36,2,baseline local write set (w=36),0.01699229582898346
82407.43309893666,36,2,baseline local write set (w=36),0.015726736670028895
89038.90941296735,36,2,baseline local write set (w=36),0.014555434343755053
96204.0327106476,36,2,baseline local write set (w=36),0.013471368751224523
103945.74653722627,36,2,baseline local write set (w=36),0.01246804263929993
112310.45018329515,36,2,baseline local write set (w=36),0.01153944265992057
121348.27677491431,36,2,baseline local write set (w=36),0.010680003329622191
131113.3937421563,36,2,baseline local write set (w=36),0.009884573673294393
141664.32746690192,36,2,baseline local write set (w=36),0.009148386352257903
153064.31405563562,36,2,baseline local write set (w=36),0.008467029091633544
165381.6783395673,36,2,baseline local write set (w=36),0.007836418235755285
178690.24337358287,36,2,baseline local write set (w=36),0.0072527742731341395
193069.77288832495,36,2,baseline local write set (w=36),0.006712599184283652
208606.44934719568,36,2,baseline local write set (w=36),0.006212655476643451
225393.39047347935,36,2,baseline local write set (w=36),0.0057499467809482745
243531.20734334175,36,2,baseline local write set (w=36),0.005321699892748604
263128.6073895944,36,2,baseline local write set (w=36),0.0049253481514501835
284303.0459302665,36,2,baseline local write set (w=36),0.004558516057256317
307181.43012686964,36,2,baseline local write set (w=36),0.004219005033815801
331900.87959146773,36,2,baseline local write set (w=36),0.0039047802512461815
358609.54820118286,36,2,baseline local write set (w=36),0.0036139584305572743
387467.5120456128,36,2,baseline local write set (w=36),0.0033447965563818275
418647.7288289947,36,2,baseline local write set (w=36),0.0030956814303640424
452337.07447720965,36,2,baseline local write set (w=36),0.0028651200025950935
488737.4631624417,36,2,baseline local write set (w=36),0.002651730423147956
528067.0574582637,36,2,baseline local write set (w=36),0.002454233760079667
570561.5758781021,36,2,baseline local write set (w=36),0.002271446334263639
616475.7056337161,36,2,baseline local write set (w=36),0.002102272625111408
666084.6290809154,36,2,baseline local write set (w=36),0.001945698704664994
719685.6730011528,36,2,baseline local write set (w=36),0.0018007861607075844
777600.0906038043,36,2,baseline local write set (w=36),0.0016666664724712926
840174.9869294344,36,2,baseline local write set (w=36),0.001542535805233214
907785.3991937558,36,2,baseline local write set (w=36),0.0014276501926017257
980836.5445406671,36,2,baseline local write set (w=36),0.0013213210776184183
1059766.2486760707,36,2,baseline local write set (w=36),0.0012229111859516644
1145047.569938281,36,2,baseline local write set (w=36),0.0011318307064481657
1237191.6345321594,36,2,baseline local write set (w=36),0.0010475337561509448
1336750.6999197064,36,2,baseline local write set (w=36),0.0009695151085971721
1444321.464727279,36,2,baseline local write set (w=36),0.0008973071657871639
1560548.6450070718,36,2,baseline local write set (w=36),0.0008304771556763148
1686128.8382868804,36,2,baseline local write set (w=36),0.0007686245383933684
1821814.6985669748,36,2,baseline local write set (w=36),0.0007113786056394338
1968419.4472866112,36,2,baseline local write set (w=36),0.0006583962588799278
2126821.747296208,36,2,baseline local write set (w=36),0.0006093599530132615
2297970.9690469652,36,2,baseline local write set (w=36),0.0005639757931918037
2482892.88056033,36,2,baseline local write set (w=36),0.000521971773388598
2682695.7952797273,36,2,baseline local write set (w=36),0.00048309614615281595
2898577.214651068,36,2,baseline local write set (w=36),0.00044711591378324313
3131831.005243845,36,2,baseline local write set (w=36),0.0004138154318767571
3383855.153428233,36,2,baseline local write set (w=36),0.0003829951168822943
3656160.1440851935,36,2,baseline local write set (w=36),0.00035447024991414094
3950378.0135666407,36,2,baseline local write set (w=36),0.0003280698696553074
4268272.131163817,36,2,baseline local write set (w=36),0.0003036357477156977
4611747.767708251,36,2,baseline local write set (w=36),0.0002810214403039719
