N,concurrent,prob_any_overlap,pair_overlap_probability,mean_intersection_when_overlap
1000,2,0.4708,0.4708,2.6745964316057775
1000,4,0.9748,0.46686666666666665,2.713408539197487
1000,8,1.0,0.4700857142857143,2.6851030207257036
3000,2,0.1956,0.1956,2.130879345603272
3000,4,0.7212,0.18906666666666666,2.277503526093089
3000,8,0.9972,0.18967142857142857,2.2687354070949763
10000,2,0.0652,0.0652,2.312883435582822
10000,4,0.3176,0.0614,2.1465798045602607
10000,8,0.824,0.05935714285714286,2.1229843561973527
30000,2,0.0228,0.0228,1.8771929824561404
30000,4,0.1288,0.023,1.944927536231884
30000,8,0.4328,0.020285714285714285,2.0774647887323945
100000,2,0.0068,0.0068,2.0
100000,4,0.0412,0.006933333333333333,2.1153846153846154
100000,8,0.1556,0.006071428571428571,2.0894117647058823
300000,2,0.0028,0.0028,2.0
300000,4,0.0124,0.0020666666666666667,2.0
300000,8,0.0488,0.0017857142857142857,2.16
