variant,event,critical_fraction
full,0,0.0991
full,100,0.0992
full,200,0.0989
full,300,0.0984
full,400,0.0977
full,500,0.0969
full,600,0.097
full,700,0.0969
full,800,0.0965
full,900,0.0958
full,1000,0.0948
full,1100,0.0947
full,1200,0.094
full,1300,0.0929
full,1400,0.0923
full,1500,0.0917
full,1600,0.091
full,1700,0.0898
full,1800,0.0891
full,1900,0.0886
full,2000,0.0876
full,2100,0.087
full,2200,0.0857
full,2300,0.0851
full,2400,0.0845
full,2500,0.0838
full,2600,0.0833
full,2700,0.083
full,2800,0.0818
full,2900,0.0808
full,3000,0.0797
full,3100,0.0788
full,3200,0.0779
full,3300,0.0774
full,3400,0.0764
full,3500,0.0753
full,3600,0.0742
full,3700,0.0735
full,3800,0.0721
full,3900,0.0715
full,4000,0.0713
full,4100,0.0704
full,4200,0.0696
full,4300,0.0688
full,4400,0.0685
full,4500,0.0677
full,4600,0.0677
full,4700,0.0673
full,4800,0.0661
full,4900,0.0656
full,5000,0.0657
full,5100,0.0654
full,5200,0.0646
full,5300,0.0642
full,5400,0.0633
full,5500,0.0629
full,5600,0.0622
full,5700,0.0622
full,5800,0.0618
full,5900,0.0615
full,6000,0.0614
full,6100,0.0612
full,6200,0.0606
full,6300,0.0603
full,6400,0.0602
full,6500,0.0594
full,6600,0.0589
full,6700,0.0586
full,6800,0.0582
full,6900,0.0579
full,7000,0.0576
full,7100,0.0572
full,7200,0.0568
full,7300,0.0569
full,7400,0.0567
full,7500,0.0564
full,7600,0.0565
full,7700,0.0562
full,7800,0.0555
full,7900,0.0552
full,8000,0.0547
full,8100,0.0545
full,8200,0.0538
full,8300,0.0535
full,8400,0.0528
full,8500,0.0525
full,8600,0.052
full,8700,0.0512
full,8800,0.0505
full,8900,0.0501
full,9000,0.0497
full,9100,0.0493
full,9200,0.0489
full,9300,0.0483
full,9400,0.0483
full,9500,0.048
full,9600,0.0479
full,9700,0.0478
full,9800,0.0478
full,9900,0.0473
full,10000,0.0469
full,10100,0.0467
full,10200,0.0462
full,10300,0.046
full,10400,0.0456
full,10500,0.0453
full,10600,0.0452
full,10700,0.0446
full,10800,0.0446
full,10900,0.0443
full,11000,0.0441
full,11100,0.0439
full,11200,0.0437
full,11300,0.0435
full,11400,0.0431
full,11500,0.0429
full,11600,0.0429
full,11700,0.0425
full,11800,0.0422
full,11900,0.0421
full,12000,0.0418
full,12100,0.0414
full,12200,0.0413
full,12300,0.041
full,12400,0.0407
full,12500,0.0406
full,12600,0.0401
full,12700,0.04
full,12800,0.0399
full,12900,0.0401
full,13000,0.0397
full,13100,0.0391
full,13200,0.0392
full,13300,0.0393
full,13400,0.0395
full,13500,0.0395
full,13600,0.0393
full,13700,0.0398
full,13800,0.0401
full,13900,0.0399
full,14000,0.04
full,14100,0.0398
full,14200,0.0402
full,14300,0.0401
full,14400,0.04
full,14500,0.0394
full,14600,0.0393
full,14700,0.0393
full,14800,0.0396
full,14900,0.0397
full,15000,0.0391
full,15100,0.0394
full,15200,0.0396
full,15300,0.0399
full,15400,0.0396
full,15500,0.0394
full,15600,0.039
full,15700,0.0389
full,15800,0.0391
full,15900,0.0393
full,16000,0.0395
full,16100,0.0395
full,16200,0.0392
full,16300,0.0389
full,16400,0.0392
full,16500,0.0389
full,16600,0.0387
full,16700,0.0389
full,16800,0.0389
full,16900,0.039
full,17000,0.0389
full,17100,0.039
full,17200,0.0388
full,17300,0.039
full,17400,0.0391
full,17500,0.0386
full,17600,0.0385
full,17700,0.0385
full,17800,0.0379
full,17900,0.0377
full,18000,0.0374
full,18100,0.0377
full,18200,0.0383
full,18300,0.0381
full,18400,0.0387
full,18500,0.0387
full,18600,0.0388
full,18700,0.039
full,18800,0.0391
full,18900,0.039
full,19000,0.0391
full,19100,0.0387
full,19200,0.039
full,19300,0.0394
full,19400,0.0397
full,19500,0.0396
full,19600,0.0398
full,19700,0.0397
full,19800,0.0396
full,19900,0.0397
full,20000,0.0396
full,20100,0.0395
full,20200,0.0395
full,20300,0.039
full,20400,0.0392
full,20500,0.039
full,20600,0.0389
full,20700,0.0384
full,20800,0.0391
full,20900,0.0394
full,21000,0.0392
full,21100,0.0393
full,21200,0.0392
full,21300,0.039
full,21400,0.0393
full,21500,0.0392
full,21600,0.0394
full,21700,0.0394
full,21800,0.0392
full,21900,0.0394
full,22000,0.0395
full,22100,0.0396
full,22200,0.04
full,22300,0.0402
full,22400,0.0402
full,22500,0.0399
full,22600,0.0403
full,22700,0.0408
full,22800,0.0406
full,22900,0.0404
full,23000,0.041
full,23100,0.0412
full,23200,0.0413
full,23300,0.0415
full,23400,0.042
full,23500,0.0419
full,23600,0.0424
full,23700,0.0428
full,23800,0.0427
full,23900,0.0425
full,24000,0.0422
full,24100,0.0422
full,24200,0.0424
full,24300,0.0422
full,24400,0.0426
full,24500,0.0426
full,24600,0.0424
full,24700,0.0424
full,24800,0.0426
full,24900,0.0424
full,24999,0.0423
fixed_memory,0,0.0991
fixed_memory,100,0.0984
fixed_memory,200,0.0971
fixed_memory,300,0.0962
fixed_memory,400,0.0951
fixed_memory,500,0.094
fixed_memory,600,0.0937
fixed_memory,700,0.0932
fixed_memory,800,0.0926
fixed_memory,900,0.0916
fixed_memory,1000,0.0907
fixed_memory,1100,0.0911
fixed_memory,1200,0.0905
fixed_memory,1300,0.0897
fixed_memory,1400,0.0886
fixed_memory,1500,0.0882
fixed_memory,1600,0.0875
fixed_memory,1700,0.0862
fixed_memory,1800,0.0849
fixed_memory,1900,0.0837
fixed_memory,2000,0.0826
fixed_memory,2100,0.0819
fixed_memory,2200,0.0809
fixed_memory,2300,0.0797
fixed_memory,2400,0.0786
fixed_memory,2500,0.0778
fixed_memory,2600,0.0767
fixed_memory,2700,0.0756
fixed_memory,2800,0.0745
fixed_memory,2900,0.073
fixed_memory,3000,0.0716
fixed_memory,3100,0.0706
fixed_memory,3200,0.0699
fixed_memory,3300,0.0687
fixed_memory,3400,0.0679
fixed_memory,3500,0.0662
fixed_memory,3600,0.065
fixed_memory,3700,0.0638
fixed_memory,3800,0.0628
fixed_memory,3900,0.0622
fixed_memory,4000,0.0612
fixed_memory,4100,0.0598
fixed_memory,4200,0.0589
fixed_memory,4300,0.0578
fixed_memory,4400,0.0568
fixed_memory,4500,0.0558
fixed_memory,4600,0.0552
fixed_memory,4700,0.0545
fixed_memory,4800,0.053
fixed_memory,4900,0.0522
fixed_memory,5000,0.0518
fixed_memory,5100,0.051
fixed_memory,5200,0.0501
fixed_memory,5300,0.0493
fixed_memory,5400,0.0483
fixed_memory,5500,0.0479
fixed_memory,5600,0.0474
fixed_memory,5700,0.0468
fixed_memory,5800,0.0466
fixed_memory,5900,0.0458
fixed_memory,6000,0.0453
fixed_memory,6100,0.0448
fixed_memory,6200,0.0439
fixed_memory,6300,0.0433
fixed_memory,6400,0.0427
fixed_memory,6500,0.0413
fixed_memory,6600,0.0406
fixed_memory,6700,0.0399
fixed_memory,6800,0.0391
fixed_memory,6900,0.0386
fixed_memory,7000,0.0378
fixed_memory,7100,0.0372
fixed_memory,7200,0.0368
fixed_memory,7300,0.0362
fixed_memory,7400,0.0357
fixed_memory,7500,0.0345
fixed_memory,7600,0.034
fixed_memory,7700,0.0336
fixed_memory,7800,0.0332
fixed_memory,7900,0.0326
fixed_memory,8000,0.0321
fixed_memory,8100,0.0316
fixed_memory,8200,0.031
fixed_memory,8300,0.0302
fixed_memory,8400,0.0296
fixed_memory,8500,0.0291
fixed_memory,8600,0.0286
fixed_memory,8700,0.0278
fixed_memory,8800,0.0273
fixed_memory,8900,0.027
fixed_memory,9000,0.0267
fixed_memory,9100,0.0267
fixed_memory,9200,0.0264
fixed_memory,9300,0.0259
fixed_memory,9400,0.0255
fixed_memory,9500,0.0254
fixed_memory,9600,0.0246
fixed_memory,9700,0.024
fixed_memory,9800,0.0236
fixed_memory,9900,0.0231
fixed_memory,10000,0.0229
fixed_memory,10100,0.0224
fixed_memory,10200,0.0214
fixed_memory,10300,0.0212
fixed_memory,10400,0.0208
fixed_memory,10500,0.0204
fixed_memory,10600,0.0202
fixed_memory,10700,0.0197
fixed_memory,10800,0.0195
fixed_memory,10900,0.019
fixed_memory,11000,0.0187
fixed_memory,11100,0.0186
fixed_memory,11200,0.0183
fixed_memory,11300,0.0181
fixed_memory,11400,0.0179
fixed_memory,11500,0.0177
fixed_memory,11600,0.0175
fixed_memory,11700,0.017
fixed_memory,11800,0.0166
fixed_memory,11900,0.0166
fixed_memory,12000,0.0162
fixed_memory,12100,0.0159
fixed_memory,12200,0.0155
fixed_memory,12300,0.0153
fixed_memory,12400,0.0149
fixed_memory,12500,0.0147
fixed_memory,12600,0.0145
fixed_memory,12700,0.014
fixed_memory,12800,0.0138
fixed_memory,12900,0.0138
fixed_memory,13000,0.0137
fixed_memory,13100,0.0133
fixed_memory,13200,0.0131
fixed_memory,13300,0.0129
fixed_memory,13400,0.0128
fixed_memory,13500,0.0127
fixed_memory,13600,0.0127
fixed_memory,13700,0.0127
fixed_memory,13800,0.0125
fixed_memory,13900,0.0124
fixed_memory,14000,0.0124
fixed_memory,14100,0.0124
fixed_memory,14200,0.0123
fixed_memory,14300,0.0123
fixed_memory,14400,0.0122
fixed_memory,14500,0.012
fixed_memory,14600,0.012
fixed_memory,14700,0.0118
fixed_memory,14800,0.0117
fixed_memory,14900,0.0116
fixed_memory,15000,0.0112
fixed_memory,15100,0.0107
fixed_memory,15200,0.0107
fixed_memory,15300,0.0106
fixed_memory,15400,0.0105
fixed_memory,15500,0.0104
fixed_memory,15600,0.01
fixed_memory,15700,0.01
fixed_memory,15800,0.0099
fixed_memory,15900,0.0095
fixed_memory,16000,0.0095
fixed_memory,16100,0.0093
fixed_memory,16200,0.0092
fixed_memory,16300,0.0091
fixed_memory,16400,0.0091
fixed_memory,16500,0.0093
fixed_memory,16600,0.0093
fixed_memory,16700,0.0093
fixed_memory,16800,0.0094
fixed_memory,16900,0.0092
fixed_memory,17000,0.009
fixed_memory,17100,0.0088
fixed_memory,17200,0.0086
fixed_memory,17300,0.0086
fixed_memory,17400,0.0088
fixed_memory,17500,0.0087
fixed_memory,17600,0.0085
fixed_memory,17700,0.0085
fixed_memory,17800,0.0084
fixed_memory,17900,0.0083
fixed_memory,18000,0.0084
fixed_memory,18100,0.0083
fixed_memory,18200,0.0083
fixed_memory,18300,0.0084
fixed_memory,18400,0.0085
fixed_memory,18500,0.0083
fixed_memory,18600,0.0083
fixed_memory,18700,0.0083
fixed_memory,18800,0.0083
fixed_memory,18900,0.0083
fixed_memory,19000,0.0085
fixed_memory,19100,0.0087
fixed_memory,19200,0.0087
fixed_memory,19300,0.0087
fixed_memory,19400,0.0088
fixed_memory,19500,0.0089
fixed_memory,19600,0.009
fixed_memory,19700,0.009
fixed_memory,19800,0.0089
fixed_memory,19900,0.0088
fixed_memory,20000,0.0088
fixed_memory,20100,0.0087
fixed_memory,20200,0.0084
fixed_memory,20300,0.0082
fixed_memory,20400,0.008
fixed_memory,20500,0.008
fixed_memory,20600,0.008
fixed_memory,20700,0.0079
fixed_memory,20800,0.008
fixed_memory,20900,0.008
fixed_memory,21000,0.0078
fixed_memory,21100,0.0077
fixed_memory,21200,0.0076
fixed_memory,21300,0.0078
fixed_memory,21400,0.0078
fixed_memory,21500,0.0079
fixed_memory,21600,0.008
fixed_memory,21700,0.0081
fixed_memory,21800,0.008
fixed_memory,21900,0.0082
fixed_memory,22000,0.0082
fixed_memory,22100,0.0085
fixed_memory,22200,0.0086
fixed_memory,22300,0.0086
fixed_memory,22400,0.0087
fixed_memory,22500,0.0086
fixed_memory,22600,0.0086
fixed_memory,22700,0.0087
fixed_memory,22800,0.0087
fixed_memory,22900,0.0085
fixed_memory,23000,0.0085
fixed_memory,23100,0.0085
fixed_memory,23200,0.0086
fixed_memory,23300,0.0088
fixed_memory,23400,0.0088
fixed_memory,23500,0.0088
fixed_memory,23600,0.009
fixed_memory,23700,0.0088
fixed_memory,23800,0.0086
fixed_memory,23900,0.0087
fixed_memory,24000,0.0089
fixed_memory,24100,0.0088
fixed_memory,24200,0.0088
fixed_memory,24300,0.0087
fixed_memory,24400,0.0086
fixed_memory,24500,0.0085
fixed_memory,24600,0.0084
fixed_memory,24700,0.0084
fixed_memory,24800,0.0083
fixed_memory,24900,0.0084
fixed_memory,24999,0.0086
no_propagation,0,0.0991
no_propagation,100,0.0984
no_propagation,200,0.0967
no_propagation,300,0.0955
no_propagation,400,0.0941
no_propagation,500,0.093
no_propagation,600,0.0923
no_propagation,700,0.0913
no_propagation,800,0.0904
no_propagation,900,0.0893
no_propagation,1000,0.0882
no_propagation,1100,0.0877
no_propagation,1200,0.0867
no_propagation,1300,0.0855
no_propagation,1400,0.0843
no_propagation,1500,0.0837
no_propagation,1600,0.0824
no_propagation,1700,0.0802
no_propagation,1800,0.0792
no_propagation,1900,0.0775
no_propagation,2000,0.0756
no_propagation,2100,0.0745
no_propagation,2200,0.0727
no_propagation,2300,0.0716
no_propagation,2400,0.0697
no_propagation,2500,0.068
no_propagation,2600,0.0663
no_propagation,2700,0.0648
no_propagation,2800,0.063
no_propagation,2900,0.0612
no_propagation,3000,0.0599
no_propagation,3100,0.0583
no_propagation,3200,0.057
no_propagation,3300,0.0553
no_propagation,3400,0.0539
no_propagation,3500,0.0528
no_propagation,3600,0.0504
no_propagation,3700,0.049
no_propagation,3800,0.0477
no_propagation,3900,0.0467
no_propagation,4000,0.0449
no_propagation,4100,0.044
no_propagation,4200,0.043
no_propagation,4300,0.0418
no_propagation,4400,0.0403
no_propagation,4500,0.039
no_propagation,4600,0.0384
no_propagation,4700,0.0374
no_propagation,4800,0.0354
no_propagation,4900,0.0344
no_propagation,5000,0.0337
no_propagation,5100,0.0327
no_propagation,5200,0.0314
no_propagation,5300,0.0302
no_propagation,5400,0.0288
no_propagation,5500,0.0282
no_propagation,5600,0.0274
no_propagation,5700,0.0267
no_propagation,5800,0.0262
no_propagation,5900,0.0254
no_propagation,6000,0.0248
no_propagation,6100,0.024
no_propagation,6200,0.023
no_propagation,6300,0.0224
no_propagation,6400,0.0221
no_propagation,6500,0.021
no_propagation,6600,0.02
no_propagation,6700,0.0196
no_propagation,6800,0.0193
no_propagation,6900,0.0189
no_propagation,7000,0.0185
no_propagation,7100,0.0177
no_propagation,7200,0.0174
no_propagation,7300,0.0163
no_propagation,7400,0.0158
no_propagation,7500,0.0147
no_propagation,7600,0.0144
no_propagation,7700,0.0139
no_propagation,7800,0.0135
no_propagation,7900,0.0129
no_propagation,8000,0.0122
no_propagation,8100,0.0118
no_propagation,8200,0.0115
no_propagation,8300,0.0109
no_propagation,8400,0.0105
no_propagation,8500,0.0104
no_propagation,8600,0.0102
no_propagation,8700,0.0098
no_propagation,8800,0.0097
no_propagation,8900,0.0095
no_propagation,9000,0.0093
no_propagation,9100,0.0092
no_propagation,9200,0.0091
no_propagation,9300,0.0086
no_propagation,9400,0.0081
no_propagation,9500,0.008
no_propagation,9600,0.0075
no_propagation,9700,0.0071
no_propagation,9800,0.0066
no_propagation,9900,0.0065
no_propagation,10000,0.0063
no_propagation,10100,0.0064
no_propagation,10200,0.0058
no_propagation,10300,0.0056
no_propagation,10400,0.0053
no_propagation,10500,0.0051
no_propagation,10600,0.005
no_propagation,10700,0.0049
no_propagation,10800,0.0047
no_propagation,10900,0.0045
no_propagation,11000,0.0045
no_propagation,11100,0.0045
no_propagation,11200,0.0045
no_propagation,11300,0.0046
no_propagation,11400,0.0046
no_propagation,11500,0.0046
no_propagation,11600,0.0045
no_propagation,11700,0.0043
no_propagation,11800,0.0042
no_propagation,11900,0.0038
no_propagation,12000,0.0038
no_propagation,12100,0.0037
no_propagation,12200,0.0038
no_propagation,12300,0.0037
no_propagation,12400,0.0037
no_propagation,12500,0.0036
no_propagation,12600,0.0036
no_propagation,12700,0.0036
no_propagation,12800,0.0035
no_propagation,12900,0.0036
no_propagation,13000,0.0036
no_propagation,13100,0.0035
no_propagation,13200,0.0034
no_propagation,13300,0.0034
no_propagation,13400,0.0034
no_propagation,13500,0.0033
no_propagation,13600,0.0033
no_propagation,13700,0.0034
no_propagation,13800,0.0033
no_propagation,13900,0.0033
no_propagation,14000,0.0034
no_propagation,14100,0.0034
no_propagation,14200,0.0034
no_propagation,14300,0.0033
no_propagation,14400,0.003
no_propagation,14500,0.0027
no_propagation,14600,0.0027
no_propagation,14700,0.0027
no_propagation,14800,0.0028
no_propagation,14900,0.0028
no_propagation,15000,0.0026
no_propagation,15100,0.0026
no_propagation,15200,0.0028
no_propagation,15300,0.0027
no_propagation,15400,0.0027
no_propagation,15500,0.0026
no_propagation,15600,0.0024
no_propagation,15700,0.0023
no_propagation,15800,0.0023
no_propagation,15900,0.0023
no_propagation,16000,0.0024
