variant,event,risk
full,0,0.2237
full,100,0.22055
full,200,0.21745
full,300,0.2145
full,400,0.2109
full,500,0.2083
full,600,0.2058
full,700,0.2029
full,800,0.2008
full,900,0.19795
full,1000,0.1954
full,1100,0.19385
full,1200,0.1923
full,1300,0.1912
full,1400,0.18835
full,1500,0.18605
full,1600,0.18385
full,1700,0.1802
full,1800,0.17685
full,1900,0.1737
full,2000,0.17015
full,2100,0.16635
full,2200,0.1623
full,2300,0.15825
full,2400,0.15415
full,2500,0.1509
full,2600,0.1483
full,2700,0.14515
full,2800,0.1412
full,2900,0.1379
full,3000,0.13375
full,3100,0.13025
full,3200,0.12725
full,3300,0.12375
full,3400,0.1197
full,3500,0.11545
full,3600,0.11175
full,3700,0.10775
full,3800,0.10355
full,3900,0.0996
full,4000,0.09575
full,4100,0.09175
full,4200,0.0883
full,4300,0.0837
full,4400,0.0794
full,4500,0.07495
full,4600,0.07135
full,4700,0.0682
full,4800,0.06445
full,4900,0.06135
full,5000,0.0585
full,5100,0.05625
full,5200,0.053
full,5300,0.05065
full,5400,0.0479
full,5500,0.0456
full,5600,0.0431
full,5700,0.0406
full,5800,0.039
full,5900,0.03665
full,6000,0.03505
full,6100,0.03245
full,6200,0.03005
full,6300,0.0285
full,6400,0.02665
full,6500,0.0253
full,6600,0.02445
full,6700,0.0232
full,6800,0.0215
full,6900,0.0203
full,7000,0.01955
full,7100,0.0187
full,7200,0.01785
full,7300,0.01755
full,7400,0.0166
full,7500,0.0161
full,7600,0.01515
full,7700,0.01435
full,7800,0.01385
full,7900,0.0128
full,8000,0.01205
full,8100,0.01175
full,8200,0.01105
full,8300,0.01045
full,8400,0.01015
full,8500,0.01005
full,8600,0.0101
full,8700,0.00955
full,8800,0.00965
full,8900,0.0093
full,9000,0.00925
full,9100,0.0096
full,9200,0.0094
full,9300,0.0094
full,9400,0.00895
full,9500,0.0087
full,9600,0.0083
full,9700,0.00825
full,9800,0.0084
full,9900,0.00805
full,10000,0.00785
full,10100,0.00795
full,10200,0.00805
full,10300,0.0081
full,10400,0.00825
full,10500,0.00805
full,10600,0.00805
full,10700,0.00835
full,10800,0.0085
full,10900,0.0087
full,11000,0.00855
full,11100,0.0086
full,11200,0.00855
full,11300,0.00855
full,11400,0.009
full,11500,0.00925
full,11600,0.00955
full,11700,0.00985
full,11800,0.0094
full,11900,0.00955
full,12000,0.00935
full,12100,0.0092
full,12200,0.009
full,12300,0.00845
full,12400,0.0088
full,12500,0.00895
full,12600,0.0091
full,12700,0.00885
full,12800,0.0085
full,12900,0.00875
full,13000,0.00875
full,13100,0.0088
full,13200,0.00905
full,13300,0.00935
full,13400,0.00965
full,13500,0.00985
full,13600,0.00955
full,13700,0.00955
full,13800,0.0099
full,13900,0.0098
full,14000,0.01005
full,14100,0.0104
full,14200,0.01105
full,14300,0.01145
full,14400,0.01105
full,14500,0.0112
full,14600,0.01095
full,14700,0.0112
full,14800,0.0113
full,14900,0.0113
full,15000,0.0114
full,15100,0.0119
full,15200,0.0119
full,15300,0.0119
full,15400,0.0119
full,15500,0.01235
full,15600,0.0127
full,15700,0.0125
full,15800,0.01255
full,15900,0.01255
full,16000,0.01255
full,16100,0.01215
full,16200,0.0119
full,16300,0.0116
full,16400,0.0119
full,16500,0.01195
full,16600,0.0122
full,16700,0.01205
full,16800,0.0122
full,16900,0.0122
full,17000,0.01265
full,17100,0.01325
full,17200,0.0128
full,17300,0.0124
full,17400,0.01225
full,17500,0.0122
full,17600,0.0123
full,17700,0.01215
full,17800,0.01225
full,17900,0.01215
full,18000,0.01255
full,18100,0.01235
full,18200,0.01285
full,18300,0.0128
full,18400,0.0132
full,18500,0.01325
full,18600,0.0137
full,18700,0.01395
full,18800,0.01395
full,18900,0.0139
full,19000,0.01385
full,19100,0.0138
full,19200,0.0135
full,19300,0.0131
full,19400,0.01325
full,19500,0.01295
full,19600,0.01295
full,19700,0.0131
full,19800,0.0133
full,19900,0.0136
full,19999,0.0138
fixed_memory,0,0.2237
fixed_memory,100,0.2203
fixed_memory,200,0.21705
fixed_memory,300,0.21395
fixed_memory,400,0.21035
fixed_memory,500,0.20755
fixed_memory,600,0.20495
fixed_memory,700,0.20185
fixed_memory,800,0.1996
fixed_memory,900,0.1972
fixed_memory,1000,0.1947
fixed_memory,1100,0.19295
fixed_memory,1200,0.1915
fixed_memory,1300,0.19085
fixed_memory,1400,0.18825
fixed_memory,1500,0.1858
fixed_memory,1600,0.1839
fixed_memory,1700,0.18055
fixed_memory,1800,0.17755
fixed_memory,1900,0.17455
fixed_memory,2000,0.1716
fixed_memory,2100,0.1681
