variant,N,T,mean_pre_action_risk,mean_post_action_risk,mean_critical_fraction,actions_per_event,mean_latency_us,p95_latency_us,contexts_stored,final_post_action_risk,replicate
full,3000,2500,0.0812985833333335,0.08115875000000007,0.044112666666666585,1.0768,2358.656147190777,3134.245599699166,7918,0.01633333333333333,0
fixed_memory,3000,2500,0.08269500000000007,0.08255458333333324,0.04484100000000064,1.0712,2356.951260798814,3141.6153502050283,7902,0.015166666666666667,0
no_propagation,3000,2500,0.0717732500000001,0.07165125000000008,0.038788666666666215,0.9472,1444.408153601216,1843.883050264594,7803,0.027166666666666665,0
random,3000,2500,0.13560266666666743,0.135517333333334,0.06533200000000013,1.9996,2083.7888184010812,2763.0261000012974,8174,0.11933333333333333,0
no_control,3000,2500,0.2920496666666669,0.2920496666666669,0.16437366666666672,0.0,166.61526599946228,196.93750004989852,0,0.3521666666666667,0
full,3000,2500,0.07734616666666676,0.07720350000000031,0.03855199999999998,1.1016,1380.6066860050123,1850.8068499841006,7949,0.013166666666666667,1
fixed_memory,3000,2500,0.07842350000000009,0.07828099999999988,0.03907383333333328,1.0892,2084.5983648010583,2920.678050281819,7940,0.012666666666666666,1
no_propagation,3000,2500,0.06981841666666716,0.0696946666666671,0.0368503333333336,0.9752,781.3708324038088,1394.131300003207,7818,0.022166666666666668,1
random,3000,2500,0.1303091666666669,0.13022308333333318,0.05711633333333367,2.0,1917.2394288025316,2658.2924500189597,8201,0.11433333333333333,1
no_control,3000,2500,0.286586916666667,0.286586916666667,0.15596350000000045,0.0,177.2037300053853,210.25484991241674,0,0.35533333333333333,1
full,3000,2500,0.07872400000000035,0.07858283333333367,0.04322050000000016,1.08,1968.9908279970039,2270.3865500034217,7988,0.014166666666666666,2
fixed_memory,3000,2500,0.07862275000000003,0.07848199999999982,0.042588000000000056,1.0772,1969.3199739991542,2239.522349918843,7988,0.0145,2
no_propagation,3000,2500,0.06943975000000005,0.0693185000000001,0.04036749999999995,0.962,762.1143612068408,1315.1735500969107,7875,0.026,2
random,3000,2500,0.13020291666666692,0.13011891666666667,0.05616916666666685,2.0,1003.4252752013344,1304.8971000216625,8276,0.1185,2
no_control,3000,2500,0.27979866666666725,0.27979866666666725,0.14686749999999996,0.0,262.90176000220526,326.37629994951453,0,0.3445,2
full,3000,2500,0.07953766666666669,0.07939499999999984,0.04183716666666671,1.06,1856.4443307968759,1987.1415498300837,7919,0.020666666666666667,3
fixed_memory,3000,2500,0.08156808333333333,0.08142600000000012,0.043692833333333084,1.052,1843.8176580006257,1936.8050501498142,7917,0.02,3
no_propagation,3000,2500,0.07282358333333304,0.07269266666666616,0.04038533333333357,0.9456,625.1178996044473,776.608450064486,7825,0.0265,3
random,3000,2500,0.1386241666666667,0.13853183333333335,0.06669716666666693,1.9988,1657.5318407996747,1884.4952997596915,8222,0.121,3
no_control,3000,2500,0.29656383333333275,0.29656383333333275,0.17324716666666695,0.0,224.35831839575255,231.5685501798724,0,0.36766666666666664,3
full,3000,2500,0.07999408333333337,0.07985308333333348,0.044778500000000034,1.08,1844.944114001919,2129.086950344572,7977,0.016166666666666666,4
fixed_memory,3000,2500,0.08185824999999983,0.08171774999999976,0.04605683333333358,1.07,1015.0523379994411,1094.8252497655626,7979,0.015833333333333335,4
no_propagation,3000,2500,0.07086883333333314,0.07074199999999993,0.0398721666666664,0.9604,1097.2513336018894,1138.9264499030103,7879,0.023666666666666666,4
random,3000,2500,0.13908808333333306,0.13900766666666658,0.06644149999999979,1.9996,1602.4787604061203,1648.9280001451334,8274,0.1315,4
no_control,3000,2500,0.2848598333333334,0.2848598333333334,0.15768316666666643,0.0,120.76223918993492,180.21444966507232,0,0.35333333333333333,4
full,3000,2500,0.0801723333333332,0.0800282499999999,0.04266483333333385,1.0924,1591.7670340077166,1974.808850013687,7984,0.0145,5
fixed_memory,3000,2500,0.08085708333333332,0.08071283333333328,0.04338300000000005,1.0856,1024.1175016049965,1097.2428498916995,7982,0.0135,5
no_propagation,3000,2500,0.07284391666666654,0.07271825000000003,0.04114766666666665,0.9616,1026.5578580027068,1211.42450032039,7879,0.022833333333333334,5
random,3000,2500,0.13538575000000008,0.13529458333333333,0.06597916666666685,1.9996,1113.5483859954547,1491.3910500126804,8275,0.11833333333333333,5
no_control,3000,2500,0.29908074999999984,0.29908074999999984,0.17194349999999983,0.0,104.412937599227,122.65484990621185,0,0.36733333333333335,5
