variant,event,normalized_risk
full,0,0.22375
full,100,0.222
full,200,0.2198
full,300,0.21765
full,400,0.2148
full,500,0.2114
full,600,0.2091
full,700,0.2066
full,800,0.204
full,900,0.2007
full,1000,0.1977
full,1100,0.1956
full,1200,0.1928
full,1300,0.1907
full,1400,0.1873
full,1500,0.18475
full,1600,0.182
full,1700,0.17915
full,1800,0.17655
full,1900,0.17415
full,2000,0.17065
full,2100,0.1684
full,2200,0.16595
full,2300,0.16315
full,2400,0.16075
full,2500,0.1586
full,2600,0.1572
full,2700,0.155
full,2800,0.15115
full,2900,0.1491
full,3000,0.14645
full,3100,0.1444
full,3200,0.1426
full,3300,0.1412
full,3400,0.1395
full,3500,0.13755
full,3600,0.13535
full,3700,0.1335
full,3800,0.13115
full,3900,0.12935
full,4000,0.1278
full,4100,0.1265
full,4200,0.1253
full,4300,0.12395
full,4400,0.12235
full,4500,0.121
full,4600,0.12015
full,4700,0.119
full,4800,0.11675
full,4900,0.1157
full,5000,0.11525
full,5100,0.1146
full,5200,0.11345
full,5300,0.11195
full,5400,0.1105
full,5500,0.10955
full,5600,0.1083
full,5700,0.1075
full,5800,0.10615
full,5900,0.10485
full,6000,0.1044
full,6100,0.1031
full,6200,0.10215
full,6300,0.1014
full,6400,0.10075
full,6500,0.0995
full,6600,0.0989
full,6700,0.0983
full,6800,0.09715
full,6900,0.09585
full,7000,0.09505
full,7100,0.0938
full,7200,0.0935
full,7300,0.0937
full,7400,0.09355
full,7500,0.09245
full,7600,0.0924
full,7700,0.0917
full,7800,0.09075
full,7900,0.08975
full,8000,0.0888
full,8100,0.08775
full,8200,0.0869
full,8300,0.086
full,8400,0.0851
full,8500,0.0847
full,8600,0.0838
full,8700,0.0828
full,8800,0.0822
full,8900,0.0814
full,9000,0.081
full,9100,0.08015
full,9200,0.0794
full,9300,0.0784
full,9400,0.07835
full,9500,0.07755
full,9600,0.077
full,9700,0.0769
full,9800,0.0765
full,9900,0.0754
full,10000,0.07445
full,10100,0.07405
full,10200,0.07315
full,10300,0.07285
full,10400,0.07245
full,10500,0.07145
full,10600,0.0709
full,10700,0.0701
full,10800,0.0702
full,10900,0.06965
full,11000,0.0692
full,11100,0.06915
full,11200,0.06865
full,11300,0.06805
full,11400,0.06755
full,11500,0.0673
full,11600,0.06695
full,11700,0.06635
full,11800,0.0661
full,11900,0.06565
full,12000,0.06485
full,12100,0.06455
full,12200,0.06435
full,12300,0.06395
full,12400,0.0634
full,12500,0.06355
full,12600,0.0636
full,12700,0.0637
full,12800,0.06355
full,12900,0.06385
full,13000,0.06405
full,13100,0.0642
full,13200,0.0649
full,13300,0.0651
full,13400,0.0659
full,13500,0.06575
full,13600,0.066
full,13700,0.0669
full,13800,0.06785
full,13900,0.06785
full,14000,0.06815
full,14100,0.06865
full,14200,0.069
full,14300,0.06915
full,14400,0.06885
full,14500,0.0686
full,14600,0.0684
full,14700,0.0688
full,14800,0.0692
full,14900,0.06985
full,15000,0.0693
full,15100,0.07
full,15200,0.0706
full,15300,0.071
full,15400,0.07045
full,15500,0.07055
full,15600,0.0706
full,15700,0.07065
full,15800,0.071
full,15900,0.0717
full,16000,0.0721
full,16100,0.0719
full,16200,0.07165
full,16300,0.07145
full,16400,0.07195
full,16500,0.072
full,16600,0.0726
full,16700,0.0725
full,16800,0.07265
full,16900,0.07305
full,17000,0.07335
full,17100,0.07335
full,17200,0.07305
full,17300,0.07225
full,17400,0.07255
full,17500,0.0722
full,17600,0.0722
full,17700,0.07205
full,17800,0.07235
full,17900,0.0717
full,18000,0.07185
full,18100,0.07225
full,18200,0.0734
full,18300,0.0733
full,18400,0.0738
full,18500,0.07375
full,18600,0.0742
full,18700,0.07465
full,18800,0.0748
full,18900,0.07475
full,19000,0.0749
full,19100,0.07405
full,19200,0.07385
full,19300,0.07395
full,19400,0.07465
full,19500,0.0743
full,19600,0.07475
full,19700,0.0747
full,19800,0.0753
full,19900,0.07545
full,20000,0.0755
full,20100,0.0756
full,20200,0.0758
full,20300,0.07495
full,20400,0.07565
full,20500,0.0755
full,20600,0.0758
full,20700,0.0752
full,20800,0.076
full,20900,0.0767
full,21000,0.0766
full,21100,0.07655
full,21200,0.0768
full,21300,0.07705
full,21400,0.07685
full,21500,0.07665
full,21600,0.07705
full,21700,0.0771
full,21800,0.07705
full,21900,0.0771
full,22000,0.07745
full,22100,0.0774
full,22200,0.07745
full,22300,0.0776
full,22400,0.0774
full,22500,0.07725
full,22600,0.07785
full,22700,0.07865
full,22800,0.07805
full,22900,0.07845
full,23000,0.0791
full,23100,0.07975
full,23200,0.0803
full,23300,0.08035
full,23400,0.0812
full,23500,0.0809
full,23600,0.08125
full,23700,0.08135
full,23800,0.08185
full,23900,0.08225
full,24000,0.08195
full,24100,0.0821
full,24200,0.08215
full,24300,0.0827
full,24400,0.0832
full,24500,0.0829
full,24600,0.083
full,24700,0.08305
full,24800,0.08305
full,24900,0.0831
full,24999,0.08305
fixed_memory,0,0.2237
fixed_memory,100,0.21995
fixed_memory,200,0.216
fixed_memory,300,0.2122
fixed_memory,400,0.2082
fixed_memory,500,0.2041
fixed_memory,600,0.2003
fixed_memory,700,0.1963
fixed_memory,800,0.19315
fixed_memory,900,0.18905
fixed_memory,1000,0.1854
fixed_memory,1100,0.1833
fixed_memory,1200,0.1802
fixed_memory,1300,0.1769
fixed_memory,1400,0.1724
fixed_memory,1500,0.16925
fixed_memory,1600,0.16595
fixed_memory,1700,0.16265
fixed_memory,1800,0.15865
fixed_memory,1900,0.15495
fixed_memory,2000,0.15135
fixed_memory,2100,0.14845
fixed_memory,2200,0.14555
fixed_memory,2300,0.14155
fixed_memory,2400,0.13875
fixed_memory,2500,0.13605
fixed_memory,2600,0.13355
fixed_memory,2700,0.13035
fixed_memory,2800,0.1271
fixed_memory,2900,0.12435
fixed_memory,3000,0.1211
fixed_memory,3100,0.11825
fixed_memory,3200,0.11615
fixed_memory,3300,0.11335
fixed_memory,3400,0.11205
fixed_memory,3500,0.10945
fixed_memory,3600,0.10695
fixed_memory,3700,0.10445
fixed_memory,3800,0.1022
fixed_memory,3900,0.10025
fixed_memory,4000,0.09785
fixed_memory,4100,0.0954
fixed_memory,4200,0.09335
fixed_memory,4300,0.09125
fixed_memory,4400,0.08895
