variant,N,T,mean_pre_action_risk,mean_post_action_risk,mean_critical_fraction,actions_per_event,mean_latency_us,p95_latency_us,contexts_stored,final_post_action_risk,replicate
full,1000,1500,0.028170416666666954,0.027892916666666996,0.011843333333333476,0.9006666666666666,1886.4570526705695,2094.815450004716,3997,0.0145,0
full,3000,1500,0.13063555555555573,0.1304718055555556,0.06669611111111148,1.1526666666666667,1854.2168000024808,2173.6115002795486,5223,0.06866666666666667,0
full,10000,1500,0.19715299999999988,0.19711320833333323,0.09358608333333387,0.8173333333333334,1117.3327646686932,1705.807999996977,5765,0.1851,0
full,30000,1500,0.21555687500000023,0.2155427222222225,0.09820505555555517,0.8266666666666667,1896.5614853350419,2145.661549980104,5919,0.21081666666666668,0
full,100000,1500,0.2208904583333333,0.22088608333333318,0.0986304750000003,0.8346666666666667,1929.7004886657303,2196.298350122561,5974,0.219525,0
full,1000,1500,0.02818041666666685,0.02790625000000013,0.015666666666667196,0.9066666666666666,1078.4681673309628,1331.274999620291,4024,0.008,1
full,3000,1500,0.13897027777777804,0.13880486111111118,0.07037500000000033,1.1326666666666667,1869.3176579969681,2037.3908002966343,5245,0.07166666666666667,1
full,10000,1500,0.20134454166666674,0.20130554166666628,0.0975414166666666,0.7993333333333333,1856.6868500047349,1956.5395498148062,5733,0.18825,1
full,30000,1500,0.2170571666666666,0.2170429583333335,0.09912491666666755,0.8186666666666667,1901.0412213307668,2018.2859999522407,5909,0.21268333333333334,1
full,100000,1500,0.2228296583333334,0.2228252541666665,0.09972414166666704,0.85,1932.5009053357765,2137.3798501599595,5976,0.2215,1
full,1000,1500,0.027856666666666873,0.02755291666666683,0.012504999999999853,0.9513333333333334,1018.8001833318292,1117.3275999681207,4008,0.0145,2
full,3000,1500,0.13627180555555557,0.1361049999999999,0.07396166666666684,1.1446666666666667,980.8038506671437,1108.899550081332,5282,0.06666666666666667,2
full,10000,1500,0.20075466666666686,0.2007154166666669,0.09931158333333401,0.83,999.0113606684948,1605.5343499829178,5753,0.18935,2
full,30000,1500,0.2161152361111113,0.21610208333333328,0.09990588888888909,0.7953333333333333,1696.882866008309,2222.6104000992564,5909,0.21166666666666667,2
full,100000,1500,0.22134185833333353,0.22133720833333348,0.09932559166666691,0.8773333333333333,1699.3135380004483,2241.7554003595787,5978,0.219755,2
