events,live_keys,keys_per_worker,horizon
2500,9895,0.9895,H=16
5000,19651,1.9651,H=16
7500,29273,2.9273,H=16
10000,38758,3.8758,H=16
12500,48073,4.8073,H=16
15000,57213,5.7213,H=16
17500,66244,6.6244,H=16
20000,75058,7.5058,H=16
22500,83671,8.3671,H=16
25000,91998,9.1998,H=16
27500,100063,10.0063,H=16
30000,107492,10.7492,H=16
32500,114228,11.4228,H=16
35000,120224,12.0224,H=16
37500,125403,12.5403,H=16
40000,129661,12.9661,H=16
42500,133178,13.3178,H=16
45000,135847,13.5847,H=16
47500,137780,13.778,H=16
50000,139274,13.9274,H=16
52500,140391,14.0391,H=16
55000,141155,14.1155,H=16
57500,141698,14.1698,H=16
60000,142021,14.2021,H=16
62500,142165,14.2165,H=16
65000,142222,14.2222,H=16
67500,142261,14.2261,H=16
70000,142351,14.2351,H=16
72500,142406,14.2406,H=16
75000,142427,14.2427,H=16
77500,142319,14.2319,H=16
80000,142378,14.2378,H=16
82500,142371,14.2371,H=16
85000,142327,14.2327,H=16
87500,142288,14.2288,H=16
90000,142246,14.2246,H=16
92500,142226,14.2226,H=16
95000,142172,14.2172,H=16
97500,142092,14.2092,H=16
100000,142175,14.2175,H=16
102500,142209,14.2209,H=16
105000,142324,14.2324,H=16
107500,142309,14.2309,H=16
110000,142356,14.2356,H=16
112500,142380,14.238,H=16
115000,142436,14.2436,H=16
117500,142450,14.245,H=16
120000,142472,14.2472,H=16
122500,142336,14.2336,H=16
125000,142301,14.2301,H=16
127500,142358,14.2358,H=16
130000,142342,14.2342,H=16
132500,142360,14.236,H=16
135000,142335,14.2335,H=16
137500,142406,14.2406,H=16
140000,142402,14.2402,H=16
142500,142468,14.2468,H=16
145000,142409,14.2409,H=16
147500,142461,14.2461,H=16
150000,142429,14.2429,H=16
152500,142342,14.2342,H=16
155000,142439,14.2439,H=16
157500,142426,14.2426,H=16
160000,142366,14.2366,H=16
162500,142302,14.2302,H=16
165000,142324,14.2324,H=16
167500,142254,14.2254,H=16
170000,142345,14.2345,H=16
172500,142495,14.2495,H=16
175000,142544,14.2544,H=16
177500,144471,14.4471,H=16
180000,146175,14.6175,H=16
182500,147562,14.7562,H=16
185000,148651,14.8651,H=16
187500,149505,14.9505,H=16
190000,150047,15.0047,H=16
192500,150246,15.0246,H=16
195000,150287,15.0287,H=16
197500,150042,15.0042,H=16
200000,149516,14.9516,H=16
202500,148787,14.8787,H=16
205000,147991,14.7991,H=16
207500,147201,14.7201,H=16
210000,146425,14.6425,H=16
212500,145674,14.5674,H=16
215000,144933,14.4933,H=16
217500,144341,14.4341,H=16
220000,143830,14.383,H=16
222500,143443,14.3443,H=16
225000,143204,14.3204,H=16
227500,142972,14.2972,H=16
230000,142795,14.2795,H=16
232500,142730,14.273,H=16
235000,142670,14.267,H=16
237500,142487,14.2487,H=16
240000,142450,14.245,H=16
242500,142497,14.2497,H=16
245000,142504,14.2504,H=16
247500,142431,14.2431,H=16
250000,142425,14.2425,H=16
252500,142328,14.2328,H=16
255000,142378,14.2378,H=16
257500,142279,14.2279,H=16
260000,142314,14.2314,H=16
262500,142360,14.236,H=16
265000,142311,14.2311,H=16
267500,142300,14.23,H=16
270000,142318,14.2318,H=16
272500,142308,14.2308,H=16
275000,142262,14.2262,H=16
277500,142290,14.229,H=16
280000,142259,14.2259,H=16
282500,142353,14.2353,H=16
285000,142342,14.2342,H=16
287500,142325,14.2325,H=16
290000,142259,14.2259,H=16
292500,142284,14.2284,H=16
295000,142293,14.2293,H=16
297500,142300,14.23,H=16
300000,142273,14.2273,H=16
302500,142237,14.2237,H=16
305000,142349,14.2349,H=16
307500,142339,14.2339,H=16
310000,142287,14.2287,H=16
312500,142347,14.2347,H=16
315000,142339,14.2339,H=16
317500,142303,14.2303,H=16
320000,142245,14.2245,H=16
322500,142289,14.2289,H=16
325000,142362,14.2362,H=16
327500,142445,14.2445,H=16
330000,142489,14.2489,H=16
332500,142457,14.2457,H=16
335000,142542,14.2542,H=16
337500,142484,14.2484,H=16
340000,142418,14.2418,H=16
342500,142353,14.2353,H=16
345000,142273,14.2273,H=16
347500,142221,14.2221,H=16
350000,142244,14.2244,H=16
2500,9918,0.9918,H=32
5000,19674,1.9674,H=32
7500,29281,2.9281,H=32
10000,38750,3.875,H=32
12500,48060,4.806,H=32
15000,57217,5.7217,H=32
17500,66268,6.6268,H=32
20000,75172,7.5172,H=32
22500,83920,8.392,H=32
25000,92592,9.2592,H=32
27500,101029,10.1029,H=32
30000,109425,10.9425,H=32
32500,117671,11.7671,H=32
35000,125782,12.5782,H=32
37500,133745,13.3745,H=32
40000,141582,14.1582,H=32
42500,149308,14.9308,H=32
45000,156915,15.6915,H=32
47500,164430,16.443,H=32
50000,171828,17.1828,H=32
52500,179080,17.908,H=32
55000,186253,18.6253,H=32
57500,193201,19.3201,H=32
60000,199844,19.9844,H=32
62500,206234,20.6234,H=32
65000,212344,21.2344,H=32
67500,218160,21.816,H=32
70000,223519,22.3519,H=32
72500,228389,22.8389,H=32
75000,232772,23.2772,H=32
77500,236681,23.6681,H=32
80000,240131,24.0131,H=32
82500,243100,24.31,H=32
85000,245630,24.563,H=32
87500,247754,24.7754,H=32
90000,249507,24.9507,H=32
92500,250831,25.0831,H=32
95000,251966,25.1966,H=32
97500,252756,25.2756,H=32
100000,253441,25.3441,H=32
102500,253934,25.3934,H=32
105000,254393,25.4393,H=32
107500,254590,25.459,H=32
110000,254790,25.479,H=32
112500,254932,25.4932,H=32
115000,255066,25.5066,H=32
117500,255131,25.5131,H=32
120000,255221,25.5221,H=32
122500,255223,25.5223,H=32
125000,255233,25.5233,H=32
127500,255240,25.524,H=32
130000,255231,25.5231,H=32
132500,255223,25.5223,H=32
135000,255222,25.5222,H=32
137500,255121,25.5121,H=32
140000,255147,25.5147,H=32
142500,255075,25.5075,H=32
145000,255036,25.5036,H=32
147500,255020,25.502,H=32
150000,255044,25.5044,H=32
152500,255091,25.5091,H=32
155000,255118,25.5118,H=32
157500,255105,25.5105,H=32
160000,255068,25.5068,H=32
162500,255079,25.5079,H=32
165000,255160,25.516,H=32
167500,255167,25.5167,H=32
170000,255090,25.509,H=32
172500,255058,25.5058,H=32
175000,255097,25.5097,H=32
177500,258554,25.8554,H=32
180000,261860,26.186,H=32
182500,264922,26.4922,H=32
185000,267702,26.7702,H=32
187500,270174,27.0174,H=32
190000,272524,27.2524,H=32
192500,274551,27.4551,H=32
195000,276392,27.6392,H=32
197500,278085,27.8085,H=32
200000,279416,27.9416,H=32
202500,280574,28.0574,H=32
205000,281455,28.1455,H=32
207500,282052,28.2052,H=32
210000,282510,28.251,H=32
212500,282767,28.2767,H=32
215000,282786,28.2786,H=32
217500,282474,28.2474,H=32
220000,282086,28.2086,H=32
222500,281428,28.1428,H=32
225000,280534,28.0534,H=32
227500,279383,27.9383,H=32
230000,278119,27.8119,H=32
232500,276708,27.6708,H=32
235000,275065,27.5065,H=32
237500,273312,27.3312,H=32
240000,271555,27.1555,H=32
242500,269800,26.98,H=32
245000,268037,26.8037,H=32
247500,266233,26.6233,H=32
250000,264553,26.4553,H=32
252500,262949,26.2949,H=32
255000,261576,26.1576,H=32
257500,260327,26.0327,H=32
260000,259314,25.9314,H=32
262500,258324,25.8324,H=32
265000,257534,25.7534,H=32
