rho_bar,Hraw,replicate,mean_logloss,post_drift_logloss,mean_live_keys,H,label
0.95,16.0,0,1.6177077802697417,1.6233682898758506,12.5456640625,16,16
0.95,16.0,1,1.612826066133047,1.620763358868101,12.571171875,16,16
0.95,16.0,2,1.6132879277590568,1.6216129810151503,12.607421875,16,16
0.95,16.0,3,1.6083377734525381,1.617788810888927,12.5287109375,16,16
0.95,16.0,4,1.6065916081410951,1.6209187602346342,12.5476171875,16,16
0.95,16.0,5,1.6096315705688022,1.6230254301554516,12.5948046875,16,16
0.95,32.0,0,1.6107692206373505,1.618498786991835,20.0299609375,32,32
0.95,32.0,1,1.6043990014686322,1.615966733615426,20.1333203125,32,32
0.95,32.0,2,1.6035287693920421,1.6153589904892103,20.143359375,32,32
0.95,32.0,3,1.595470217153744,1.6095992711584457,20.0553515625,32,32
0.95,32.0,4,1.5957337669234821,1.6164784250057191,20.076953125,32,32
0.95,32.0,5,1.600987383342054,1.6190038666049533,20.12328125,32,32
0.95,64.0,0,1.6058043876282206,1.6150085541031263,28.0735546875,64,64
0.95,64.0,1,1.5989199704464583,1.6120869915947553,28.2355859375,64,64
0.95,64.0,2,1.5976111620070335,1.6115915329111175,28.2423046875,64,64
0.95,64.0,3,1.5884950887266949,1.6042724797906238,28.0661328125,64,64
0.95,64.0,4,1.5893183847381522,1.6128618130697263,28.1519921875,64,64
0.95,64.0,5,1.5952113700535115,1.6149994842672792,28.170390625,64,64
0.95,128.0,0,1.6053650718827324,1.6146424080753108,35.6659375,128,128
0.95,128.0,1,1.5985102892272232,1.6118462784921936,35.9915625,128,128
0.95,128.0,2,1.5971451664352674,1.6112412836032077,35.9480078125,128,128
0.95,128.0,3,1.588008285461566,1.6039607478260058,35.5913671875,128,128
0.95,128.0,4,1.5888181051743289,1.6125690405550037,35.8038671875,128,128
0.95,128.0,5,1.5946792350106365,1.6146366897406217,35.712578125,128,128
0.95,,0,1.6053630070766822,1.6146409280801517,96.0,999999,infinity
0.95,,1,1.598507854767391,1.6118456905305762,96.0,999999,infinity
0.95,,2,1.5971431881445777,1.6112408311587612,96.0,999999,infinity
0.95,,3,1.588005515838837,1.6039587490483465,96.0,999999,infinity
0.95,,4,1.5888154026131227,1.6125665547395105,96.0,999999,infinity
0.95,,5,1.594677235654518,1.614635326421032,96.0,999999,infinity
0.98,16.0,0,1.6258487296002295,1.632926869122828,12.5456640625,16,16
0.98,16.0,1,1.619687511732112,1.629616442110323,12.571171875,16,16
0.98,16.0,2,1.6200579796830599,1.6305971222322413,12.607421875,16,16
0.98,16.0,3,1.6144249054191278,1.625899064990212,12.5287109375,16,16
0.98,16.0,4,1.6123312095104674,1.629220586029158,12.5476171875,16,16
0.98,16.0,5,1.6164158195462186,1.6320938306152473,12.5948046875,16,16
