N,degree,coupling,seeds,trial,cascade_size
5000,2,0.55,4,0,8
5000,2,0.55,4,1,6
5000,2,0.55,4,2,4
5000,2,0.55,4,3,5
5000,2,0.55,4,4,6
5000,2,0.55,4,5,8
5000,2,0.55,4,6,6
5000,2,0.55,4,7,4
5000,2,0.55,4,8,5
5000,2,0.55,4,9,9
5000,2,0.55,4,10,6
5000,2,0.55,4,11,7
5000,2,0.55,4,12,1
5000,2,0.55,4,13,6
5000,2,0.55,4,14,7
5000,2,0.55,4,15,5
5000,2,0.55,4,16,13
5000,2,0.55,4,17,4
5000,2,0.55,4,18,4
5000,2,0.55,4,19,4
5000,2,0.55,4,20,7
5000,2,0.55,4,21,6
5000,2,0.55,4,22,5
5000,2,0.55,4,23,2
5000,2,0.55,4,24,5
5000,2,0.55,4,25,6
5000,2,0.55,4,26,7
5000,2,0.55,4,27,6
5000,2,0.55,4,28,5
5000,2,0.55,4,29,9
5000,2,0.55,4,30,6
5000,2,0.55,4,31,2
5000,2,0.55,4,32,8
5000,2,0.55,4,33,7
5000,2,0.55,4,34,14
5000,2,0.55,4,35,4
5000,2,0.55,4,36,9
5000,2,0.55,4,37,7
5000,2,0.55,4,38,5
5000,2,0.55,4,39,5
5000,2,0.55,4,40,4
5000,2,0.55,4,41,5
5000,2,0.55,4,42,7
5000,2,0.55,4,43,11
5000,2,0.55,4,44,6
5000,2,0.55,4,45,2
5000,2,0.55,4,46,5
5000,2,0.55,4,47,6
5000,2,0.55,4,48,8
5000,2,0.55,4,49,7
5000,2,0.55,4,50,4
5000,2,0.55,4,51,8
5000,2,0.55,4,52,12
5000,2,0.55,4,53,8
5000,2,0.55,4,54,4
5000,2,0.55,4,55,3
5000,2,0.55,4,56,5
5000,2,0.55,4,57,6
5000,2,0.55,4,58,5
5000,2,0.55,4,59,7
5000,2,0.55,4,60,5
5000,2,0.55,4,61,5
5000,2,0.55,4,62,6
5000,2,0.55,4,63,5
5000,2,0.55,4,64,8
5000,2,0.55,4,65,8
5000,2,0.55,4,66,6
5000,2,0.55,4,67,10
5000,2,0.55,4,68,4
5000,2,0.55,4,69,6
5000,2,0.55,4,70,7
5000,2,0.55,4,71,7
5000,2,0.55,4,72,5
5000,2,0.55,4,73,5
5000,2,0.55,4,74,4
5000,2,0.55,4,75,8
5000,2,0.55,4,76,7
5000,2,0.55,4,77,6
5000,2,0.55,4,78,6
5000,2,0.55,4,79,10
5000,2,0.55,4,80,8
5000,2,0.55,4,81,7
5000,2,0.55,4,82,7
5000,2,0.55,4,83,8
5000,2,0.55,4,84,6
5000,2,0.55,4,85,10
5000,2,0.55,4,86,8
5000,2,0.55,4,87,7
5000,2,0.55,4,88,8
5000,2,0.55,4,89,6
5000,2,0.55,4,90,4
5000,2,0.55,4,91,8
5000,2,0.55,4,92,3
5000,2,0.55,4,93,11
5000,2,0.55,4,94,6
5000,2,0.55,4,95,3
5000,2,0.55,4,96,2
5000,2,0.55,4,97,7
5000,2,0.55,4,98,10
5000,2,0.55,4,99,7
5000,2,0.55,4,100,4
5000,2,0.55,4,101,10
5000,2,0.55,4,102,4
5000,2,0.55,4,103,4
5000,2,0.55,4,104,8
5000,2,0.55,4,105,7
5000,2,0.55,4,106,12
5000,2,0.55,4,107,7
5000,2,0.55,4,108,4
5000,2,0.55,4,109,6
5000,2,0.55,4,110,1
5000,2,0.55,4,111,7
5000,2,0.55,4,112,5
5000,2,0.55,4,113,5
5000,2,0.55,4,114,8
5000,2,0.55,4,115,7
5000,2,0.55,4,116,8
5000,2,0.55,4,117,1
5000,2,0.55,4,118,4
5000,2,0.55,4,119,3
20000,2,0.55,4,0,6
20000,2,0.55,4,1,2
20000,2,0.55,4,2,5
20000,2,0.55,4,3,5
20000,2,0.55,4,4,4
20000,2,0.55,4,5,8
20000,2,0.55,4,6,9
20000,2,0.55,4,7,6
20000,2,0.55,4,8,9
20000,2,0.55,4,9,4
20000,2,0.55,4,10,6
20000,2,0.55,4,11,8
20000,2,0.55,4,12,5
20000,2,0.55,4,13,4
20000,2,0.55,4,14,6
20000,2,0.55,4,15,4
20000,2,0.55,4,16,1
20000,2,0.55,4,17,5
20000,2,0.55,4,18,5
20000,2,0.55,4,19,6
20000,2,0.55,4,20,5
20000,2,0.55,4,21,6
20000,2,0.55,4,22,7
20000,2,0.55,4,23,6
20000,2,0.55,4,24,5
20000,2,0.55,4,25,5
20000,2,0.55,4,26,6
20000,2,0.55,4,27,5
20000,2,0.55,4,28,5
20000,2,0.55,4,29,6
20000,2,0.55,4,30,7
20000,2,0.55,4,31,3
20000,2,0.55,4,32,4
20000,2,0.55,4,33,3
20000,2,0.55,4,34,5
20000,2,0.55,4,35,8
20000,2,0.55,4,36,4
20000,2,0.55,4,37,5
20000,2,0.55,4,38,6
20000,2,0.55,4,39,7
20000,2,0.55,4,40,3
20000,2,0.55,4,41,7
20000,2,0.55,4,42,4
20000,2,0.55,4,43,4
20000,2,0.55,4,44,7
20000,2,0.55,4,45,7
20000,2,0.55,4,46,8
20000,2,0.55,4,47,7
20000,2,0.55,4,48,5
20000,2,0.55,4,49,2
20000,2,0.55,4,50,6
20000,2,0.55,4,51,4
20000,2,0.55,4,52,7
20000,2,0.55,4,53,7
20000,2,0.55,4,54,4
20000,2,0.55,4,55,5
20000,2,0.55,4,56,7
20000,2,0.55,4,57,11
20000,2,0.55,4,58,4
20000,2,0.55,4,59,3
20000,2,0.55,4,60,2
20000,2,0.55,4,61,6
20000,2,0.55,4,62,4
20000,2,0.55,4,63,6
20000,2,0.55,4,64,7
20000,2,0.55,4,65,5
20000,2,0.55,4,66,6
20000,2,0.55,4,67,6
20000,2,0.55,4,68,3
20000,2,0.55,4,69,12
20000,2,0.55,4,70,5
20000,2,0.55,4,71,6
20000,2,0.55,4,72,7
20000,2,0.55,4,73,7
20000,2,0.55,4,74,4
20000,2,0.55,4,75,4
20000,2,0.55,4,76,8
20000,2,0.55,4,77,5
20000,2,0.55,4,78,10
20000,2,0.55,4,79,8
20000,2,0.55,4,80,5
20000,2,0.55,4,81,5
20000,2,0.55,4,82,8
20000,2,0.55,4,83,2
20000,2,0.55,4,84,4
20000,2,0.55,4,85,2
20000,2,0.55,4,86,8
20000,2,0.55,4,87,6
20000,2,0.55,4,88,2
20000,2,0.55,4,89,8
20000,2,0.55,4,90,10
20000,2,0.55,4,91,0
20000,2,0.55,4,92,6
20000,2,0.55,4,93,10
20000,2,0.55,4,94,8
20000,2,0.55,4,95,12
20000,2,0.55,4,96,5
20000,2,0.55,4,97,6
20000,2,0.55,4,98,4
20000,2,0.55,4,99,7
20000,2,0.55,4,100,6
20000,2,0.55,4,101,6
20000,2,0.55,4,102,9
20000,2,0.55,4,103,9
20000,2,0.55,4,104,4
20000,2,0.55,4,105,11
20000,2,0.55,4,106,2
20000,2,0.55,4,107,12
20000,2,0.55,4,108,4
20000,2,0.55,4,109,3
20000,2,0.55,4,110,6
20000,2,0.55,4,111,6
20000,2,0.55,4,112,6
20000,2,0.55,4,113,7
20000,2,0.55,4,114,7
20000,2,0.55,4,115,8
20000,2,0.55,4,116,7
20000,2,0.55,4,117,9
20000,2,0.55,4,118,5
20000,2,0.55,4,119,5
5000,2,0.7,4,0,10
5000,2,0.7,4,1,10
5000,2,0.7,4,2,8
5000,2,0.7,4,3,10
5000,2,0.7,4,4,10
5000,2,0.7,4,5,10
5000,2,0.7,4,6,9
5000,2,0.7,4,7,7
5000,2,0.7,4,8,8
5000,2,0.7,4,9,10
5000,2,0.7,4,10,7
5000,2,0.7,4,11,8
5000,2,0.7,4,12,10
5000,2,0.7,4,13,5
5000,2,0.7,4,14,8
5000,2,0.7,4,15,9
5000,2,0.7,4,16,10
5000,2,0.7,4,17,14
5000,2,0.7,4,18,6
5000,2,0.7,4,19,9
5000,2,0.7,4,20,11
5000,2,0.7,4,21,8
5000,2,0.7,4,22,5
5000,2,0.7,4,23,4
5000,2,0.7,4,24,1
5000,2,0.7,4,25,2
5000,2,0.7,4,26,9
5000,2,0.7,4,27,6
5000,2,0.7,4,28,4
5000,2,0.7,4,29,6
5000,2,0.7,4,30,13
5000,2,0.7,4,31,4
5000,2,0.7,4,32,4
5000,2,0.7,4,33,7
5000,2,0.7,4,34,13
5000,2,0.7,4,35,7
5000,2,0.7,4,36,5
5000,2,0.7,4,37,6
5000,2,0.7,4,38,11
5000,2,0.7,4,39,5
5000,2,0.7,4,40,5
5000,2,0.7,4,41,13
5000,2,0.7,4,42,6
5000,2,0.7,4,43,4
5000,2,0.7,4,44,7
5000,2,0.7,4,45,9
5000,2,0.7,4,46,5
5000,2,0.7,4,47,8
5000,2,0.7,4,48,5
5000,2,0.7,4,49,6
5000,2,0.7,4,50,14
5000,2,0.7,4,51,7
5000,2,0.7,4,52,5
5000,2,0.7,4,53,7
5000,2,0.7,4,54,9
5000,2,0.7,4,55,6
5000,2,0.7,4,56,4
5000,2,0.7,4,57,9
5000,2,0.7,4,58,2
5000,2,0.7,4,59,9
5000,2,0.7,4,60,12
5000,2,0.7,4,61,9
5000,2,0.7,4,62,11
5000,2,0.7,4,63,12
5000,2,0.7,4,64,2
5000,2,0.7,4,65,6
5000,2,0.7,4,66,5
5000,2,0.7,4,67,3
5000,2,0.7,4,68,11
5000,2,0.7,4,69,13
5000,2,0.7,4,70,8
5000,2,0.7,4,71,5
5000,2,0.7,4,72,9
5000,2,0.7,4,73,9
5000,2,0.7,4,74,6
5000,2,0.7,4,75,9
5000,2,0.7,4,76,4
5000,2,0.7,4,77,10
5000,2,0.7,4,78,11
5000,2,0.7,4,79,10
5000,2,0.7,4,80,4
5000,2,0.7,4,81,2
5000,2,0.7,4,82,12
5000,2,0.7,4,83,7
5000,2,0.7,4,84,3
5000,2,0.7,4,85,8
5000,2,0.7,4,86,4
5000,2,0.7,4,87,7
5000,2,0.7,4,88,2
5000,2,0.7,4,89,10
5000,2,0.7,4,90,6
5000,2,0.7,4,91,8
5000,2,0.7,4,92,4
5000,2,0.7,4,93,13
5000,2,0.7,4,94,7
5000,2,0.7,4,95,7
5000,2,0.7,4,96,10
5000,2,0.7,4,97,7
5000,2,0.7,4,98,9
5000,2,0.7,4,99,9
5000,2,0.7,4,100,12
5000,2,0.7,4,101,1
5000,2,0.7,4,102,8
5000,2,0.7,4,103,6
5000,2,0.7,4,104,4
5000,2,0.7,4,105,7
5000,2,0.7,4,106,10
5000,2,0.7,4,107,6
5000,2,0.7,4,108,5
5000,2,0.7,4,109,6
5000,2,0.7,4,110,8
5000,2,0.7,4,111,14
5000,2,0.7,4,112,7
5000,2,0.7,4,113,6
5000,2,0.7,4,114,6
5000,2,0.7,4,115,11
5000,2,0.7,4,116,5
5000,2,0.7,4,117,5
5000,2,0.7,4,118,11
5000,2,0.7,4,119,6
20000,2,0.7,4,0,5
20000,2,0.7,4,1,7
20000,2,0.7,4,2,5
20000,2,0.7,4,3,5
20000,2,0.7,4,4,7
20000,2,0.7,4,5,10
20000,2,0.7,4,6,6
20000,2,0.7,4,7,6
20000,2,0.7,4,8,12
20000,2,0.7,4,9,12
20000,2,0.7,4,10,5
20000,2,0.7,4,11,4
20000,2,0.7,4,12,9
20000,2,0.7,4,13,6
20000,2,0.7,4,14,8
20000,2,0.7,4,15,6
20000,2,0.7,4,16,6
20000,2,0.7,4,17,14
20000,2,0.7,4,18,9
20000,2,0.7,4,19,4
20000,2,0.7,4,20,11
20000,2,0.7,4,21,4
20000,2,0.7,4,22,6
20000,2,0.7,4,23,5
20000,2,0.7,4,24,11
20000,2,0.7,4,25,7
20000,2,0.7,4,26,6
20000,2,0.7,4,27,5
20000,2,0.7,4,28,9
20000,2,0.7,4,29,5
20000,2,0.7,4,30,4
20000,2,0.7,4,31,5
20000,2,0.7,4,32,7
20000,2,0.7,4,33,9
20000,2,0.7,4,34,7
20000,2,0.7,4,35,7
20000,2,0.7,4,36,11
20000,2,0.7,4,37,7
20000,2,0.7,4,38,8
20000,2,0.7,4,39,11
20000,2,0.7,4,40,6
20000,2,0.7,4,41,13
20000,2,0.7,4,42,8
20000,2,0.7,4,43,8
20000,2,0.7,4,44,14
20000,2,0.7,4,45,11
20000,2,0.7,4,46,11
20000,2,0.7,4,47,4
20000,2,0.7,4,48,7
20000,2,0.7,4,49,10
20000,2,0.7,4,50,7
20000,2,0.7,4,51,9
20000,2,0.7,4,52,10
20000,2,0.7,4,53,9
20000,2,0.7,4,54,10
20000,2,0.7,4,55,6
20000,2,0.7,4,56,11
20000,2,0.7,4,57,11
20000,2,0.7,4,58,9
20000,2,0.7,4,59,7
20000,2,0.7,4,60,9
20000,2,0.7,4,61,5
20000,2,0.7,4,62,9
20000,2,0.7,4,63,5
20000,2,0.7,4,64,14
20000,2,0.7,4,65,5
20000,2,0.7,4,66,11
20000,2,0.7,4,67,10
20000,2,0.7,4,68,12
20000,2,0.7,4,69,9
20000,2,0.7,4,70,5
20000,2,0.7,4,71,11
20000,2,0.7,4,72,8
20000,2,0.7,4,73,13
20000,2,0.7,4,74,9
20000,2,0.7,4,75,10
20000,2,0.7,4,76,12
20000,2,0.7,4,77,10
20000,2,0.7,4,78,5
20000,2,0.7,4,79,7
20000,2,0.7,4,80,5
20000,2,0.7,4,81,5
20000,2,0.7,4,82,3
20000,2,0.7,4,83,8
20000,2,0.7,4,84,3
20000,2,0.7,4,85,10
20000,2,0.7,4,86,9
20000,2,0.7,4,87,17
20000,2,0.7,4,88,5
20000,2,0.7,4,89,20
20000,2,0.7,4,90,5
20000,2,0.7,4,91,12
20000,2,0.7,4,92,11
20000,2,0.7,4,93,4
20000,2,0.7,4,94,9
20000,2,0.7,4,95,11
20000,2,0.7,4,96,13
20000,2,0.7,4,97,5
20000,2,0.7,4,98,5
20000,2,0.7,4,99,8
20000,2,0.7,4,100,4
20000,2,0.7,4,101,11
20000,2,0.7,4,102,13
20000,2,0.7,4,103,8
20000,2,0.7,4,104,10
20000,2,0.7,4,105,9
20000,2,0.7,4,106,10
20000,2,0.7,4,107,3
20000,2,0.7,4,108,10
20000,2,0.7,4,109,8
