variant,coupling_scale,seed,mean_pre_action_risk
propagate,0.0,20340819,0.0767640000000001
no_propagation,0.0,20340819,0.07000587499999988
propagate,0.5,20340819,0.08005937500000006
no_propagation,0.5,20340819,0.07148037500000037
propagate,1.0,20340819,0.08265049999999982
no_propagation,1.0,20340819,0.07327737500000023
propagate,1.5,20340819,0.0840284999999999
no_propagation,1.5,20340819,0.074663875
propagate,2.0,20340819,0.0859230000000004
no_propagation,2.0,20340819,0.07609262499999983
propagate,3.0,20340819,0.08856525000000062
no_propagation,3.0,20340819,0.07878850000000001
propagate,0.0,20342848,0.07962724999999998
no_propagation,0.0,20342848,0.07605424999999992
propagate,0.5,20342848,0.08044912499999998
no_propagation,0.5,20342848,0.07674325000000008
propagate,1.0,20342848,0.08337862500000054
no_propagation,1.0,20342848,0.07802087499999995
propagate,1.5,20342848,0.08313800000000006
no_propagation,1.5,20342848,0.07964612499999997
propagate,2.0,20342848,0.085582
no_propagation,2.0,20342848,0.08140512500000005
propagate,3.0,20342848,0.09032762499999958
no_propagation,3.0,20342848,0.08607025000000014
propagate,0.0,20344877,0.0782229999999999
no_propagation,0.0,20344877,0.07361175000000002
propagate,0.5,20344877,0.07883137499999983
no_propagation,0.5,20344877,0.07422774999999984
propagate,1.0,20344877,0.08014962499999997
no_propagation,1.0,20344877,0.07523437500000012
propagate,1.5,20344877,0.08392625000000015
no_propagation,1.5,20344877,0.07740849999999991
propagate,2.0,20344877,0.08562574999999978
no_propagation,2.0,20344877,0.07819375000000021
propagate,3.0,20344877,0.08826999999999993
no_propagation,3.0,20344877,0.07995999999999998
propagate,0.0,20346906,0.07034600000000008
no_propagation,0.0,20346906,0.06438087500000007
propagate,0.5,20346906,0.07119025000000007
no_propagation,0.5,20346906,0.06463375000000014
propagate,1.0,20346906,0.0737842499999999
no_propagation,1.0,20346906,0.06712224999999977
propagate,1.5,20346906,0.07483737499999987
no_propagation,1.5,20346906,0.06830324999999994
propagate,2.0,20346906,0.07675000000000014
no_propagation,2.0,20346906,0.06944424999999999
propagate,3.0,20346906,0.08015900000000008
no_propagation,3.0,20346906,0.07218024999999985
