N,degree,coupling,seeds,trial,cascade_size
20000,4,0.7,1,0,0
20000,4,0.7,1,1,4
20000,4,0.7,1,2,0
20000,4,0.7,1,3,2
20000,4,0.7,1,4,5
20000,4,0.7,1,5,8
20000,4,0.7,1,6,6
20000,4,0.7,1,7,3
20000,4,0.7,1,8,3
20000,4,0.7,1,9,8
20000,4,0.7,1,10,0
20000,4,0.7,1,11,0
20000,4,0.7,1,12,4
20000,4,0.7,1,13,0
20000,4,0.7,1,14,0
20000,4,0.7,1,15,5
20000,4,0.7,1,16,3
20000,4,0.7,1,17,5
20000,4,0.7,1,18,4
20000,4,0.7,1,19,5
20000,4,0.7,1,20,0
20000,4,0.7,1,21,8
20000,4,0.7,1,22,4
20000,4,0.7,1,23,1
20000,4,0.7,1,24,3
20000,4,0.7,1,25,4
20000,4,0.7,1,26,2
20000,4,0.7,1,27,4
20000,4,0.7,1,28,4
20000,4,0.7,1,29,2
20000,4,0.7,1,30,2
20000,4,0.7,1,31,4
20000,4,0.7,1,32,0
20000,4,0.7,1,33,4
20000,4,0.7,1,34,0
20000,4,0.7,1,35,0
20000,4,0.7,1,36,0
20000,4,0.7,1,37,6
20000,4,0.7,1,38,0
20000,4,0.7,1,39,0
20000,4,0.7,1,40,0
20000,4,0.7,1,41,4
20000,4,0.7,1,42,0
20000,4,0.7,1,43,5
20000,4,0.7,1,44,8
20000,4,0.7,1,45,1
20000,4,0.7,1,46,2
20000,4,0.7,1,47,0
20000,4,0.7,1,48,5
20000,4,0.7,1,49,0
20000,4,0.7,1,50,2
20000,4,0.7,1,51,4
20000,4,0.7,1,52,3
20000,4,0.7,1,53,2
20000,4,0.7,1,54,1
20000,4,0.7,1,55,4
20000,4,0.7,1,56,2
20000,4,0.7,1,57,3
20000,4,0.7,1,58,3
20000,4,0.7,1,59,7
20000,4,0.7,1,60,3
20000,4,0.7,1,61,1
20000,4,0.7,1,62,4
20000,4,0.7,1,63,0
20000,4,0.7,1,64,3
20000,4,0.7,1,65,6
20000,4,0.7,1,66,3
20000,4,0.7,1,67,2
20000,4,0.7,1,68,3
20000,4,0.7,1,69,8
20000,4,0.7,1,70,2
20000,4,0.7,1,71,8
20000,4,0.7,1,72,2
20000,4,0.7,1,73,5
20000,4,0.7,1,74,4
20000,4,0.7,1,75,6
20000,4,0.7,1,76,0
20000,4,0.7,1,77,4
20000,4,0.7,1,78,0
20000,4,0.7,1,79,0
20000,4,0.7,1,80,7
20000,4,0.7,1,81,7
20000,4,0.7,1,82,5
20000,4,0.7,1,83,6
20000,4,0.7,1,84,0
20000,4,0.7,1,85,0
20000,4,0.7,1,86,2
20000,4,0.7,1,87,0
20000,4,0.7,1,88,3
20000,4,0.7,1,89,5
20000,4,0.7,1,90,7
20000,4,0.7,1,91,0
20000,4,0.7,1,92,5
20000,4,0.7,1,93,2
20000,4,0.7,1,94,5
20000,4,0.7,1,95,5
20000,4,0.7,1,96,3
20000,4,0.7,1,97,2
20000,4,0.7,1,98,8
20000,4,0.7,1,99,6
20000,4,0.7,1,100,4
20000,4,0.7,1,101,0
20000,4,0.7,1,102,4
20000,4,0.7,1,103,7
20000,4,0.7,1,104,0
20000,4,0.7,1,105,4
20000,4,0.7,1,106,0
20000,4,0.7,1,107,5
20000,4,0.7,1,108,4
20000,4,0.7,1,109,0
20000,4,0.7,1,110,4
20000,4,0.7,1,111,0
20000,4,0.7,1,112,4
20000,4,0.7,1,113,2
20000,4,0.7,1,114,2
20000,4,0.7,1,115,6
20000,4,0.7,1,116,8
20000,4,0.7,1,117,1
20000,4,0.7,1,118,5
20000,4,0.7,1,119,3
20000,4,0.7,1,120,0
20000,4,0.7,1,121,3
20000,4,0.7,1,122,3
20000,4,0.7,1,123,5
20000,4,0.7,1,124,1
20000,4,0.7,1,125,4
20000,4,0.7,1,126,3
20000,4,0.7,1,127,3
20000,4,0.7,1,128,6
20000,4,0.7,1,129,2
20000,4,0.7,1,130,5
20000,4,0.7,1,131,5
20000,4,0.7,1,132,0
20000,4,0.7,1,133,5
20000,4,0.7,1,134,8
20000,4,0.7,1,135,3
20000,4,0.7,1,136,1
20000,4,0.7,1,137,4
20000,4,0.7,1,138,9
20000,4,0.7,1,139,1
20000,4,0.7,1,140,0
20000,4,0.7,1,141,9
20000,4,0.7,1,142,0
20000,4,0.7,1,143,8
20000,4,0.7,1,144,6
20000,4,0.7,1,145,5
20000,4,0.7,1,146,5
20000,4,0.7,1,147,4
20000,4,0.7,1,148,4
20000,4,0.7,1,149,6
20000,4,0.7,1,150,2
20000,4,0.7,1,151,0
20000,4,0.7,1,152,2
20000,4,0.7,1,153,0
20000,4,0.7,1,154,0
20000,4,0.7,1,155,0
20000,4,0.7,1,156,4
20000,4,0.7,1,157,5
20000,4,0.7,1,158,0
20000,4,0.7,1,159,2
20000,4,0.7,2,0,2
20000,4,0.7,2,1,7
20000,4,0.7,2,2,2
20000,4,0.7,2,3,9
20000,4,0.7,2,4,15
20000,4,0.7,2,5,9
20000,4,0.7,2,6,7
20000,4,0.7,2,7,4
20000,4,0.7,2,8,7
20000,4,0.7,2,9,6
20000,4,0.7,2,10,12
20000,4,0.7,2,11,6
20000,4,0.7,2,12,11
20000,4,0.7,2,13,6
20000,4,0.7,2,14,4
20000,4,0.7,2,15,12
20000,4,0.7,2,16,10
20000,4,0.7,2,17,0
20000,4,0.7,2,18,4
20000,4,0.7,2,19,12
20000,4,0.7,2,20,2
20000,4,0.7,2,21,7
20000,4,0.7,2,22,5
20000,4,0.7,2,23,10
20000,4,0.7,2,24,6
20000,4,0.7,2,25,7
20000,4,0.7,2,26,5
20000,4,0.7,2,27,4
20000,4,0.7,2,28,7
20000,4,0.7,2,29,10
20000,4,0.7,2,30,3
20000,4,0.7,2,31,9
20000,4,0.7,2,32,3
20000,4,0.7,2,33,0
20000,4,0.7,2,34,3
20000,4,0.7,2,35,5
20000,4,0.7,2,36,6
20000,4,0.7,2,37,20
20000,4,0.7,2,38,2
20000,4,0.7,2,39,5
20000,4,0.7,2,40,6
20000,4,0.7,2,41,4
20000,4,0.7,2,42,0
20000,4,0.7,2,43,7
20000,4,0.7,2,44,15
20000,4,0.7,2,45,10
20000,4,0.7,2,46,5
20000,4,0.7,2,47,8
20000,4,0.7,2,48,9
20000,4,0.7,2,49,2
20000,4,0.7,2,50,12
20000,4,0.7,2,51,4
20000,4,0.7,2,52,9
20000,4,0.7,2,53,6
20000,4,0.7,2,54,2
20000,4,0.7,2,55,1
20000,4,0.7,2,56,5
20000,4,0.7,2,57,2
20000,4,0.7,2,58,9
20000,4,0.7,2,59,4
20000,4,0.7,2,60,3
20000,4,0.7,2,61,3
20000,4,0.7,2,62,7
20000,4,0.7,2,63,11
20000,4,0.7,2,64,8
20000,4,0.7,2,65,12
20000,4,0.7,2,66,4
20000,4,0.7,2,67,7
20000,4,0.7,2,68,5
20000,4,0.7,2,69,5
20000,4,0.7,2,70,10
20000,4,0.7,2,71,7
20000,4,0.7,2,72,3
20000,4,0.7,2,73,6
20000,4,0.7,2,74,2
20000,4,0.7,2,75,9
20000,4,0.7,2,76,9
20000,4,0.7,2,77,9
20000,4,0.7,2,78,6
20000,4,0.7,2,79,9
20000,4,0.7,2,80,0
20000,4,0.7,2,81,5
20000,4,0.7,2,82,8
20000,4,0.7,2,83,2
20000,4,0.7,2,84,2
20000,4,0.7,2,85,6
20000,4,0.7,2,86,8
20000,4,0.7,2,87,4
20000,4,0.7,2,88,8
20000,4,0.7,2,89,2
20000,4,0.7,2,90,7
20000,4,0.7,2,91,8
20000,4,0.7,2,92,12
20000,4,0.7,2,93,9
20000,4,0.7,2,94,10
20000,4,0.7,2,95,3
20000,4,0.7,2,96,0
20000,4,0.7,2,97,4
20000,4,0.7,2,98,7
20000,4,0.7,2,99,9
20000,4,0.7,2,100,5
20000,4,0.7,2,101,12
20000,4,0.7,2,102,2
20000,4,0.7,2,103,12
20000,4,0.7,2,104,3
20000,4,0.7,2,105,4
20000,4,0.7,2,106,3
20000,4,0.7,2,107,8
20000,4,0.7,2,108,10
20000,4,0.7,2,109,2
20000,4,0.7,2,110,7
20000,4,0.7,2,111,9
20000,4,0.7,2,112,7
20000,4,0.7,2,113,3
20000,4,0.7,2,114,5
20000,4,0.7,2,115,1
20000,4,0.7,2,116,10
20000,4,0.7,2,117,7
20000,4,0.7,2,118,5
20000,4,0.7,2,119,3
20000,4,0.7,2,120,4
20000,4,0.7,2,121,5
20000,4,0.7,2,122,4
20000,4,0.7,2,123,4
20000,4,0.7,2,124,13
20000,4,0.7,2,125,8
20000,4,0.7,2,126,11
20000,4,0.7,2,127,2
20000,4,0.7,2,128,7
20000,4,0.7,2,129,5
20000,4,0.7,2,130,6
20000,4,0.7,2,131,4
20000,4,0.7,2,132,6
20000,4,0.7,2,133,2
20000,4,0.7,2,134,9
20000,4,0.7,2,135,8
20000,4,0.7,2,136,7
20000,4,0.7,2,137,4
20000,4,0.7,2,138,8
20000,4,0.7,2,139,1
20000,4,0.7,2,140,9
20000,4,0.7,2,141,0
20000,4,0.7,2,142,8
20000,4,0.7,2,143,11
20000,4,0.7,2,144,4
20000,4,0.7,2,145,3
20000,4,0.7,2,146,8
20000,4,0.7,2,147,3
20000,4,0.7,2,148,9
20000,4,0.7,2,149,6
20000,4,0.7,2,150,5
20000,4,0.7,2,151,4
20000,4,0.7,2,152,9
20000,4,0.7,2,153,5
20000,4,0.7,2,154,1
20000,4,0.7,2,155,2
20000,4,0.7,2,156,9
20000,4,0.7,2,157,5
20000,4,0.7,2,158,6
20000,4,0.7,2,159,11
20000,4,0.7,4,0,8
20000,4,0.7,4,1,15
20000,4,0.7,4,2,1
20000,4,0.7,4,3,9
20000,4,0.7,4,4,13
20000,4,0.7,4,5,11
20000,4,0.7,4,6,25
20000,4,0.7,4,7,10
20000,4,0.7,4,8,18
20000,4,0.7,4,9,15
20000,4,0.7,4,10,13
20000,4,0.7,4,11,18
20000,4,0.7,4,12,11
20000,4,0.7,4,13,8
20000,4,0.7,4,14,15
20000,4,0.7,4,15,11
20000,4,0.7,4,16,20
20000,4,0.7,4,17,12
20000,4,0.7,4,18,5
20000,4,0.7,4,19,10
20000,4,0.7,4,20,15
20000,4,0.7,4,21,11
20000,4,0.7,4,22,4
20000,4,0.7,4,23,12
20000,4,0.7,4,24,17
20000,4,0.7,4,25,11
20000,4,0.7,4,26,14
20000,4,0.7,4,27,17
20000,4,0.7,4,28,17
20000,4,0.7,4,29,8
20000,4,0.7,4,30,14
20000,4,0.7,4,31,12
20000,4,0.7,4,32,9
20000,4,0.7,4,33,16
20000,4,0.7,4,34,9
20000,4,0.7,4,35,7
20000,4,0.7,4,36,4
20000,4,0.7,4,37,12
20000,4,0.7,4,38,12
20000,4,0.7,4,39,6
20000,4,0.7,4,40,11
20000,4,0.7,4,41,12
20000,4,0.7,4,42,26
20000,4,0.7,4,43,21
20000,4,0.7,4,44,17
20000,4,0.7,4,45,9
20000,4,0.7,4,46,12
20000,4,0.7,4,47,15
20000,4,0.7,4,48,9
20000,4,0.7,4,49,17
20000,4,0.7,4,50,11
20000,4,0.7,4,51,11
20000,4,0.7,4,52,15
20000,4,0.7,4,53,25
20000,4,0.7,4,54,13
20000,4,0.7,4,55,14
20000,4,0.7,4,56,23
20000,4,0.7,4,57,19
20000,4,0.7,4,58,10
20000,4,0.7,4,59,11
20000,4,0.7,4,60,7
20000,4,0.7,4,61,18
20000,4,0.7,4,62,17
20000,4,0.7,4,63,20
20000,4,0.7,4,64,12
20000,4,0.7,4,65,14
20000,4,0.7,4,66,15
20000,4,0.7,4,67,17
20000,4,0.7,4,68,6
20000,4,0.7,4,69,9
20000,4,0.7,4,70,16
20000,4,0.7,4,71,5
20000,4,0.7,4,72,16
20000,4,0.7,4,73,13
20000,4,0.7,4,74,13
20000,4,0.7,4,75,10
20000,4,0.7,4,76,21
20000,4,0.7,4,77,13
20000,4,0.7,4,78,11
20000,4,0.7,4,79,7
20000,4,0.7,4,80,17
20000,4,0.7,4,81,20
20000,4,0.7,4,82,11
20000,4,0.7,4,83,14
20000,4,0.7,4,84,17
20000,4,0.7,4,85,13
20000,4,0.7,4,86,15
20000,4,0.7,4,87,3
20000,4,0.7,4,88,14
20000,4,0.7,4,89,19
20000,4,0.7,4,90,16
20000,4,0.7,4,91,25
20000,4,0.7,4,92,9
20000,4,0.7,4,93,10
20000,4,0.7,4,94,18
20000,4,0.7,4,95,4
20000,4,0.7,4,96,9
20000,4,0.7,4,97,17
20000,4,0.7,4,98,11
20000,4,0.7,4,99,10
20000,4,0.7,4,100,10
20000,4,0.7,4,101,8
20000,4,0.7,4,102,17
20000,4,0.7,4,103,8
20000,4,0.7,4,104,14
20000,4,0.7,4,105,16
20000,4,0.7,4,106,9
20000,4,0.7,4,107,21
20000,4,0.7,4,108,6
20000,4,0.7,4,109,20
20000,4,0.7,4,110,6
20000,4,0.7,4,111,12
20000,4,0.7,4,112,12
20000,4,0.7,4,113,10
20000,4,0.7,4,114,11
20000,4,0.7,4,115,9
20000,4,0.7,4,116,13
20000,4,0.7,4,117,20
20000,4,0.7,4,118,6
20000,4,0.7,4,119,18
20000,4,0.7,4,120,10
20000,4,0.7,4,121,14
20000,4,0.7,4,122,18
20000,4,0.7,4,123,13
20000,4,0.7,4,124,9
20000,4,0.7,4,125,11
20000,4,0.7,4,126,7
20000,4,0.7,4,127,11
20000,4,0.7,4,128,14
20000,4,0.7,4,129,17
20000,4,0.7,4,130,18
20000,4,0.7,4,131,12
20000,4,0.7,4,132,20
20000,4,0.7,4,133,12
20000,4,0.7,4,134,7
20000,4,0.7,4,135,13
20000,4,0.7,4,136,19
20000,4,0.7,4,137,13
20000,4,0.7,4,138,13
20000,4,0.7,4,139,17
20000,4,0.7,4,140,10
20000,4,0.7,4,141,5
20000,4,0.7,4,142,13
20000,4,0.7,4,143,6
20000,4,0.7,4,144,17
20000,4,0.7,4,145,13
20000,4,0.7,4,146,8
20000,4,0.7,4,147,19
20000,4,0.7,4,148,23
20000,4,0.7,4,149,16
20000,4,0.7,4,150,14
20000,4,0.7,4,151,11
20000,4,0.7,4,152,15
20000,4,0.7,4,153,15
20000,4,0.7,4,154,13
20000,4,0.7,4,155,9
20000,4,0.7,4,156,10
20000,4,0.7,4,157,16
20000,4,0.7,4,158,13
20000,4,0.7,4,159,17
20000,4,0.7,8,0,23
20000,4,0.7,8,1,32
20000,4,0.7,8,2,19
20000,4,0.7,8,3,35
20000,4,0.7,8,4,25
20000,4,0.7,8,5,26
20000,4,0.7,8,6,25
20000,4,0.7,8,7,30
20000,4,0.7,8,8,13
20000,4,0.7,8,9,24
20000,4,0.7,8,10,19
20000,4,0.7,8,11,29
20000,4,0.7,8,12,16
20000,4,0.7,8,13,20
20000,4,0.7,8,14,32
20000,4,0.7,8,15,17
20000,4,0.7,8,16,27
20000,4,0.7,8,17,26
20000,4,0.7,8,18,23
20000,4,0.7,8,19,25
20000,4,0.7,8,20,26
20000,4,0.7,8,21,30
20000,4,0.7,8,22,16
20000,4,0.7,8,23,36
20000,4,0.7,8,24,31
20000,4,0.7,8,25,20
20000,4,0.7,8,26,26
20000,4,0.7,8,27,26
20000,4,0.7,8,28,23
20000,4,0.7,8,29,16
20000,4,0.7,8,30,19
20000,4,0.7,8,31,28
20000,4,0.7,8,32,13
20000,4,0.7,8,33,28
20000,4,0.7,8,34,24
20000,4,0.7,8,35,36
20000,4,0.7,8,36,6
20000,4,0.7,8,37,29
20000,4,0.7,8,38,22
20000,4,0.7,8,39,25
20000,4,0.7,8,40,26
20000,4,0.7,8,41,18
20000,4,0.7,8,42,22
20000,4,0.7,8,43,40
20000,4,0.7,8,44,15
20000,4,0.7,8,45,26
20000,4,0.7,8,46,28
20000,4,0.7,8,47,24
20000,4,0.7,8,48,23
20000,4,0.7,8,49,12
20000,4,0.7,8,50,22
20000,4,0.7,8,51,31
20000,4,0.7,8,52,25
20000,4,0.7,8,53,28
20000,4,0.7,8,54,22
20000,4,0.7,8,55,28
20000,4,0.7,8,56,27
20000,4,0.7,8,57,29
20000,4,0.7,8,58,22
20000,4,0.7,8,59,32
