degree,coupling,seeds,mean,p95,mean_per_seed
4,0.7,1,3.16875,8.0,3.16875
4,0.7,2,6.16875,12.0,3.084375
4,0.7,4,13.03125,21.0,3.2578125
4,0.7,8,25.29375,36.099999999999966,3.16171875
4,0.7,16,51.59375,67.04999999999998,3.224609375
4,0.7,32,101.70625,123.0,3.1783203125
8,0.9,1,12.00625,27.049999999999983,12.00625
8,0.9,2,23.75,44.04999999999998,11.875
8,0.9,4,46.89375,75.0,11.7234375
8,0.9,8,93.825,126.14999999999995,11.728125
8,0.9,16,186.7625,255.14999999999995,11.67265625
8,0.9,32,373.38125,448.04999999999995,11.6681640625
16,1.1,1,286.03125,526.0,286.03125
16,1.1,2,601.85,1014.0,300.925
16,1.1,4,1216.35,1709.1999999999998,304.0875
16,1.1,8,2204.275,3091.7,275.534375
16,1.1,16,3917.025,4940.199999999999,244.8140625
16,1.1,32,6356.40625,7436.15,198.6376953125
