events,sparse_retained_contexts,dense_full_table_contexts
10000,9958,259200000
20000,19810,259200000
30000,29522,259200000
40000,39137,259200000
50000,48667,259200000
60000,58055,259200000
70000,67343,259200000
80000,76536,259200000
90000,85642,259200000
100000,94655,259200000
110000,103576,259200000
120000,112385,259200000
130000,121095,259200000
140000,129701,259200000
150000,138175,259200000
160000,146590,259200000
170000,154933,259200000
180000,163164,259200000
190000,171250,259200000
200000,179308,259200000
210000,187286,259200000
220000,195108,259200000
230000,202868,259200000
240000,210625,259200000
250000,218291,259200000
